Artist,Album,Weight,Tags,Published
Nachtleid,En Maaneskinnstragedie,2316735000,,
Nattkvad,Nattkvad,615096631.5789473,,
Grimne,Grimne,270937500,,
Vvlad,tape I,236104266.6666667,,
Dřdsengel,Imperator,203045684.21052632,,
Ikhat,Old times before war,189003000,,
Fjosnisse,Unleashed Hymns,134335500,,
JCV,Zeug,131769000,,
Darkthrone & Mayhem,The True Legends In Black,113762089.1566265,,
Fjosnisse,Trolltind,89787000,,
Utbyrd,Varskrik,82007260.48093656,,
Los Cantantes,El Virao,69394653.18956408,,
Old Man’s Child,Vermin,58277625,,
Kveldsmoerke,Øyen i Havet,56026082.46268657,,
Coffin Of Lament,Gwrach-Y-Rhibyn,50897454.54545455,,
Old Man’s Child,In Defiance of Existence,48564149.99999999,,
Dřdsengel,Mirium Occultum,42112097.56097561,,
Grimne,Analblasfemi,39938400.00000001,,"22 Dec 2009, 10:25"
Old Man’s Child,The Pagan Prosperity,37494253.52112676,,
Leona Šenková,Vzorná Holka,30091451.114922807,,
Old Man’s Child,Slaves of the World,21780000,,
Kveldsmoerke,Stillhet Og Tanker Renser Alt,21047936,"ambient, ambient black metal, Norwegian Black Metal, atmospheric black metal",
Uggligr,Uggligr,18570268.65671642,,
Old Man’s Child,Revelation 666 - The Curse of Damnation,18396214.285714287,,
Vvlad,Ingen Av Oss,18188800,,
Sabazios,Lost Masters of the Universe,17787000,,
Viрr,Hedensk Skikk og Tro,16968103.44827586,,
MC Pepsi,Mleczna 2009 Soup Mixtape,16785810.81081081,,
Limuzin,Scrobbler - Bomber [Anaalizator ~ Dedismutelization V.A.],16708800.000000004,,
Ikhat,Away in the dark,14700000,,
Gnipahellir,Mist Caressed,14159012.345679011,,
Jotnir,Vårt Rike,13431000,,
Ymse Massekreft,Vest-Norge,12870750,,
Old Man’s Child,Ill-Natured Spiritual Invasion,12549428.57142857,,
Gnipahellir,Mist Caressed (Demo),12099999.999999998,,
The Childmolesters,Cocktales - Reh. Demo Traxxx 1992,11542500,,
Old Man’s Child,Born Of The Flickering,11450888.888888886,,
Dřdsengel,Dřdsengel MCD,10920333.333333332,,
Old Man’s Child,Revelation 666: The Curse of Damnation,10423142.857142856,,
Kveldsmoerke,III: ...Av naturen,10190367.346938776,,
Sisa Sklovská,Muzikálové Hity,9408000,,
Leona Šenková,Vzorna holka,9375000,,
JCV,JCV,9126000,,
Limuzin,Qartuli,9075000,,
"Hoest, Taake",Doedskvad,8922705.88235294,"black metal, Norwegian Black Metal",
Los Cantantes,Virao,8800264.705882352,,
Ikhat,Sounds Of Nature,7350000,,
Limuzin,Axadasha,7187250,,
Uruk-Hai [ Pre-Burzum ],Blast From Ancient Past [Demo - 1989 ],6912000,,
Leona Šenková,Euromania Fan Contest 10 - Orenburg,6806250,,
Los Cantantes,El Chivo,6627000,,
Leona Šenková,Cesko Slovenska Superstar,5720333.333333334,,
The Childmolesters,Cocktales 19 / 30,5581500,,
Fenriz' Red Planet;Nattefrost,Engangsgrill,5408000,,
Naula,Kahvikupin äärellä,5292000,,
Nilbong,Blud von Elderr Seth,4731999.999999999,,
Sabazios,Wintermass,4436237.673611111,,
Los Cantantes,Merengue Animal,4408695.652173914,,
Nuktrukt,MMXVI I,4402005.263157895,,
covetous,Return To Hythloth,4317434.210526316,,
Naula,Kahvikupin äärellä demo,4107000,,
Tina T.,I Am,3972589.090909091,,
"Hoest, Taake",Noregs Vaapen,3581763.1578947366,,
Old Man’s Child,The Historical Plague,3313500,,
Faun (nor),Into The Web Of Winter,3313500,,
Ikhat,Dont make me sick,3249000,,
Máni,Eremittens klagesang,3181090.909090909,,
Fenriz' Red Planet;Nattefrost,Amazon Metal Sampler,3101813.664596273,,
Naula,Kristinusko kuolee,3072000,,
Dřdsengel,Ecstatic Horror + Alongside Choronzon,2812499.9999999995,,
Kveldsmoerke,- EP -,2700000.0000000005,,
Los Cantantes,Cumbianchero,2646000,,
The Thomas Eriksen Podcast,The Thomas Eriksen Podcast,2586947.3684210526,,
Los Cantantes,La Hora De Merengue,2523000,,
Ikhat,No Life Left,2523000,,
Los Cantantes,Новый год в РиБ,2475428.571428572,,
Fortidens Vind,Det utrøstelige barnet,2352000,,
Vvlad,vvlad,2306400.0000000005,,
Kveldsmoerke,Oyen i havet EP,2281500,,
Los Cantantes,15 Merengues Pegaditos,2212363.6363636367,,
Fortidens Vind,Det trøste barnet,2187000,,
Los Cantantes,30 Merengues Poderosos,2028000,,
Naula,Naula,1971622.222222222,,
Fenriz' Red Planet;Nattefrost,Engangsgril,1875000,,
Los Cantantes,Merengue en la Calle 8 '96,1807736.8421052634,,
Los Cantantes,El Venao,1792111.111111111,,
Nuktrukt,MMXVI III,1784640.0000000002,,
Limuzin,Future Perfect Sound System: Music for Listening,1728000,,
Hat (Nor),Vortex of Death,1685400,,
Hat (Nor),The Demise Of Mankind,1680999.9999999995,"black metal, Norway, Norwegian Black Metal",
Fenriz' Red Planet;Nattefrost,Enganggrill,1642800,,
Ikhat,Requiem,1633500.0000000002,,
Limuzin,<unknown>,1587000,,
Ikhat,The unknown truth,1587000,,
Los Cantantes,No hay pesos,1452000,,
Hedenvandret,Første Del,1429716.3461538462,,
Los Cantantes,MP3-Merengue,1323000,,
Whifflefit,Extended Play Vol 1,1261500,,
Transyuggoth,Twothousandhatin´,1203333.3333333333,,
Los Cantantes,Te Compro Tu Novia,1200000,,
