Artist,Album,Weight,Tags,Published
Persepolis,Holy Hypocrisy,8538084000,,
Enfold Darkness,Our Cursed Rapture,5130467632.666467,"death metal, Melodic Death Metal, Technical Death Metal, progressive death metal, deathcore",
Svart Crown,Witnessing the Fall,3518106167.051489,"2010, Blackened Death Metal, black metal, death metal, black death metal",
DivinumX,Thorns of Heed - Single,3241555200,,
Martriden,The Unsettling Dark,2137416156.0749717,"death metal, black metal, best of 2008, Blackened Death Metal, 2008",
Morbid Winds,The Ruin of Forgotten Desolation,1903872413.7931037,,
MMD,mmd,1480920499.9999998,,
Crescent,The Order Of Amenti,1220563873.7068963,"black metal, death metal, Blackened Death Metal, death, egypt",
Svart Crown,Wolves Among The Ashes,928013305.2194705,"black death metal, Blackened Death Metal, 2020",
Crescent,Pyramid Slaves,775305333.5526655,"Blackened Death Metal, 2014, best of 2014, death metal, Mighty albums",
Sidious,Revealed in profane splendour,642101594.2710716,"Symphonic Black Metal, Blackened Death Metal",
Hell United,Hornokracy,567755690.9169512,2008,
Bliss Of Flesh,Emaciated Deity,510523142.45754236,2009,
Hell United,Aura Damage,509555122.7189781,,
Martriden,01 - The Unsettling Dark,475212000,,
The Unconscious Mind,Where Philosophers Fall,353794250.1745635,,
Helvegen,Year One,332777801.82430536,,
Deuteronomy,Πέμπτος Συριακός Πόλεμος,314928000,,
Persepolis,Valar Morghulis,309123000,,
ATREXIAL,Souverain,280937966.2024141,,
Svart Crown,Exoria,280503845.28016156,,
Azrath 11,Ov Tentacles and Spirals,273369481.6513761,Blackened Death Metal,
Sodomisery,The Great Demise,266223125.61879936,Blackened Death Metal,
Conquest Icon,Hellspire,258084002.25,albums I own,
Lucifer's Cold Embrace,The Elegy of Lilith,231789217.8028169,,
Svart Crown,Transsubstantiation,228484790.32076532,,
Sepulchrum,A Sepulchral Theme - New Edition,225228000,,
Crescent,Resin Pockets,190570422.15296328,,
Svart Crown,Thermageddon,158181396.80918953,,
IATT,Nomenclature,150885472.14869893,,
Martriden,Cold and the Silence,146389333.9805825,,
Sepulchrum,A Sepulchral Theme,141587560.6837607,,
Martriden,The unsetting Dark,139968000,,
Sepulchrum,The Gardens of Necropolis,138069963.05769232,,
Deuteronomy,pure staircase,137326521.54605263,,"20 Aug 2020, 17:37"
Little Apple Band,The Favorite Songs Of Sesame Street,137324296.49758452,Sesame Street,
King Fear,Frostbite,135067611.01973683,,
Ov Lustra,Tempestas,118108569.65944271,,
DivinumX,The Skyline,117596700,,
Tyranny Enthroned,Our Great Undoing,115366089.58837771,,
Greg,icehouse,113568999.99999997,,
nailed god,Glorification of the Unborn,113127122.86501378,,
Towers of Flesh,The Perpetual Paradox,111056604.37956205,,
Whore of Bethlehem,Extinguish the Light,109573699.27246094,,
Hell United,Abhorrence Majesty,108901666.66666667,,
Tyranny Enthroned,Born of Hate,107805932.51231527,,
Škan,Death Crown,106081213.48314609,,
Greg,beta genesis,104544000.00000001,,
Greg,Rap Eskadra Vol. 4,103788000.00000001,,
Persepolis,Persepolis,103703543.47826087,,
Temple Of Demigod,Onslaught of the Ancient Gods,103250964.4308479,,
Temple Of Demigod,The Great Old Ones,99858711.875,,
Verberis,Vorant Gnosis,97738573.85620914,,
Temple Of Demigod,Profane Doctrine,94251636.1111111,,
Bliss Of Flesh,Empyrean,92718176.09211388,2017,
Evaporated Sores,Ulcerous Dimensions,89795101.06317976,,
alteri,Miseria,88491850.32139577,,
