Artist,Album,Weight,Tags,Published
My recording,AUDIOS CAROL,12204867000,,
MvD,Hate Record Collection,3974403000,,
Seqzion Demenziados,Sociedad oscura,3094081000,,
My recording,Wünsche,2863587000,,
Rat City,I Just Wanna Dance,1305956896.2657404,,
Vomitus,Sutimov Demo 1996,991875000,,
Rat City,Kind Of Love,983328073.6828709,,
Rat City,Kind of Love (feat. Isak Heim),847401759.0847913,,
Tuomiopäivän Lapset,Discography 2xLp,632491200,,
Truncheons,Demo,604803000,,
My recording,심화형법,594075000,,
Sepulchre,Sepulchre,524900570.45454544,,
My recording,CFA Level III - Audio Pre-Lessons,516675000,,
Do You Think I Care?,dytic,477603000,,
Do You Think I Care?,Halálra Születve,470448000,,
Disease,Anti-Warmonger,458643000,,
Rat City,Naked (With My Headphones On),412822882.4229797,,
Left≈°ver Crack,Fuck World Trade,404867711.45685995,,
Amordazados,Nacimos sin derecho a vivir...,403410436.3636363,,
Mohan,Udaan OST,387096000.00000006,,
Seqzion Demenziados,¿Justa Coprocracia?,368115923.07692313,"grindcore, crust punk, hardcore punk, thrashcore",
Robot Wars,Robot Wars,318040747.25274724,,
Lifeless Dark,Who Will Be The Victims?,311175427.6275304,"Female fronted metal, metal, punk, thrash metal, crust punk",
Marsz na Waszyngton,Demo,271379169.64285713,"punk, Crust, crust punk, Punx, Anarcho",
Idiocracy,Demo,252150000,,
Extincion,Anatta Dukkha,242452614.9408284,,
Rat City,Kind of Love (feat. Isak Heim) - Single,223977716.76300582,,
The Happening,NUCLEAR STREET,218886000,,
The Happening,Miles Away From America,218700000,,
The Americans,I'll Be Yours,210410842.01658973,,
My recording,日本語,205932000,,
Disease,Dis nightmare will never end...,201243000,,
KUON,Final Fantasy X-2 Disc 1,199711999.99999997,,
My recording,全国立海7.12夜,196608000,,
Rat City,Deliriously Good,192081367.20729852,,
Vomitus,Sutimov,189191130.4347826,,
My recording,sdcard0,186750750,,
Heat Shock,Reborn,183381818.18181816,,
Uhreja Kuten Me Kaikki,"Koska vettä ei ole juotavaksi tyydymme hiekkaan, emme siksi ettei ole vaihtoehtoa vaan siksi ettemme ymmärrä eroa.",178881244.48138297,"punk, Crust, crust punk",
Heat Shock,Mindless and Merciless,169253805.69565216,,
My recording,bluetooth,168222720,,
Casus,17 Chwil,159516900,,
My recording,D,154587000,,
My recording,libri,153228000,,
Sepulchre,I,150843198.52941176,,
Vomitus,A Galaxy of Thought,145755413.79310346,,
Dispyt,Den ständigt närvarande ångesten,141872727.27272728,,
The Happening,As Deep As We Can Go Without Drowning,134258360.5472973,,
Truncheons,Truncheons demo 2011,130871010.63829786,,
KUON,Cherry Phantasm,122587867.54966888,,
Mohan,Udaan,117491766.3716814,,
Καταχνιά,Καταχνιά,116027891.08455881,"punk, hardcore, Crust, band, Greek",
Disease,Haciendo del punk una amenaza para la salud publica sessions,114954187.5,,
First degree murder,2010 EP,108300000,,
My recording,My Recording,107550651.51515152,,
KUON,Touhou Sougentou,106290303.79746836,,
Καταχνιά,Στη Σκιά Μιας Λαιμητόμου,100572299.99999999,,
My recording,Radiohead,90828000,,
Marsz na Waszyngton,Nie Można Zagrać Pieśni Wolności Przy Pomocy Instrumentu Przemocy,90828000,,
Casus,Casus.2013.ad.dlya.vsex(EP),90774000,,
Tuscoma,Arkhitecturenominus,89108376.16822429,,
Brainwasher,Recycle,88725000,,
The Americans,EP,88122606.86063218,,
Tetano,...di stato si muore,86753337.20930232,,
Krigblåst,Dawn Of The Apocalypse,84772029.62962963,,
Private Jesus Detector,P.J.D. demo tape,83760171.42857142,,
My recording,ADM,82584600,,
This Home Is Prepared,This Home Is Prepared,82028773.58490567,,
First degree murder,EP 2010,80724000,,
My recording,download,79743693.22709163,,
La Vendetta,Amanece en el infierno,73984000,,
Disease,Here Is The Unity,73947000,,
Do You Think I Care?,2019,70227000,,
Disease,Anti-Warmonger EP,69312000,,
Uhreja Kuten Me Kaikki,Koska vettä ei ole juotavaksi tyydymme hiekkaan. Emme siksi ettei ole vaihtoehtoa vaan siksi ettemme ymmärrä eroa,69312000,,
Tuomiopäivän Lapset,Discography cd2,65522000,,
S.D.S(Societic Death Slaughter),Past And Future,65340000,,
My recording,Японский,64896000,,
Amordazados,Nacimos Sin Derecho A Vivir,63967682.92682926,,
Bunt,The Pigeon Club,63654000,,
My recording,<unknown>,63184615.384615384,,
My recording,work,62208000,,
S.D.S(Societic Death Slaughter),Past And Future [Disc 1],62208000,,
La Vendetta,Puro Infierno,62208000,,
Warpriest,Archaic Revival,62088733.466400534,,
Disease,"Live at Aalborg, Denmark",60000000,,
The Americans,The White EP,58923310.98550726,,
The Americans,The Americans EP,57515161.6,,
Καταχνιά,2016 - Στη Σκιά Μιας Λαιμητόμου,57132000,,
First degree murder,Beyond Salvation,57037500,,
This Home Is Prepared,no title,56918400,,
Extincion,Orange Buddha,53034717.53246754,,
My recording,Zabt,52272000.00000001,,
Rat City,Naked (With My Headphones On - Remixes),51695151.468315296,,
La Vendetta,Amanece El Infierno,50700000,,
My recording,Japanese 101,49152000,,
My recording,sdcard,48768750,,
Dispyt,Under Tiden Jag Sålde Min Själ Till Satan,48732237.288135596,,
S.D.S(Societic Death Slaughter),Past And Future (Disc 1),47790545.45454545,,
Heat Shock,First,47124500,,
