Artist,Album,Weight,Tags,Published
Mob 47,Ultimate Attack CD,16219178037.600002,,
PSA,That Guy,12929328000,,
PSA,Unsung (Mental Illness),12817467000.000002,,
Disfigure,Blank,12687276578.148989,,
PSA,National Institutes of Health,12681408000.000002,,
Disclose,Raw Brutal Assault Vol. 1,10408032533.088236,,
Distress,Progress Regress,9584844574.573473,,
Disclose,Raw brutal assault vol. 2,9460221777.506111,,
Anti Cimex,Scandinavian Jawbreaker,7374024821.267641,"d-beat, crust punk, 1993, albums I own, speed metal",
4scums,Пёс Войны,6441866698.564593,d-beat,
Anti Cimex,Absolut Country of Sweden,5248755579.6792145,"hardcore punk, Crust, crust punk, 1990, d-beat",
Shitlickers,Spräckta Snutskallar,4806150000,,
Inepsy,Rock N' Roll Babylon,3969541485.7336955,,
Mob 47,Ultimate Attack / Complete Discography,3915918750,,
PSA,Be A Player- Get Up And Play An Hour A Day!,3656448000,,
PSA,Homefront,3525168000,,
Discarded,throwaways,3522645131.8681316,,
Avskum,Uppror Underifran,3453495632.1303835,,
Murder,Gospel Of Man,3238700483.456576,,
the Minc,Что вы наделали?,2951842226.6857963,,
Disclose,Raw Brutal Assault Vol.2 (Disc 1),2880935315.533981,,
SERPYANTS,DESIERTE,2449739539.2929,,
Totalitär,Sin Egen Motståndare,2346361455.689615,"crust punk, hardcore punk, d-beat",
Distress,"Life, Death....Rebirth  (2013)",2331786024.1286864,,
Anti Cimex,Raped Ass,2303249799.6388445,"1983, d-beat, Sweden, hardcore punk, ep",
Anti Cimex,Victims of a Bomb Raid,2150216981.340294,"Crust, hardcore punk, d-beat, 1984, crust punk",
Disclose,Tragedy LP,2100779284.7682118,"crust punk, d-beat",
PSA,Ad Council 2009,2012283000,,
PSA,2009 Spring Radio Compilation Kit,1886547000,,
Anti Cimex,Criminal Trap,1779684872.9281769,"punk, swedish, Crust, raw, Sweden",
Distress,Distress / Wheel of Dharma - Split CD,1732886625.4036598,,
Disclose,D-Beat Raw Punk,1560390840.5172415,,
PSA,Ad Council 2008 March PSAs,1474203000,,
Mob 47,Ultimate Attack - Complete Discography [Disc 1],1473961263.1578948,albums I own,
Disfigure,Summer Tune,1409393546.2893863,,
Disfigure,Hollah!,1381902790.9400682,,
Disclose,Raw Brutal Assault Vol. 2: Discography 1994-1998 CD1,1298409926.4705882,,
Anti Cimex,"Raped Ass 7""",1288028317.7189407,,
Disclose,Nightmare or Reality 12'',1282877127.6595745,,
偏執症者 (Paranoid),Destroy Future Less System - EP,1213488000,,
Kontrasosial,concepted well,1172859336.8983955,"Crust, d-beat",
Anti Cimex,No Straight Edge Years 1981-1986,1161619672.1311474,,
Murder,Stockholm Syndrome,1157465972.2179377,,
No Security,1986-1993-Compilation,1151064000,,
Totalitär,Vi Är Eliten LP,1130203220.207254,,
Meanwhile,Same Shit New Millenium,1075456424.4604318,,
Warvictims,Until Man Exists No More,1068714628.8536366,,
the Minc,Where is your god?,1063953878.7500001,,
Disclose,RAW Brutal Assault Vol.2(Disc2),1062981664.4295303,,
Inepsy,Madness and Overkill,1053687497.5845411,,
Totalitär,Vi Är Eliten,1033043052.0983789,,
Till Death,Forever,1007374327.868454,,
Mob 47,Kärnvapen attack EP,958656479.1738384,,
Warvictims,D-beat destruction,922321590.5325445,,
4scums,We can resist,909824181.081081,,
Inepsy,(2003) Rock N' Roll Babylon,909249137.9310343,,
Besthöven,"Blood,Pain,Death and Destruction",904101692.3076924,,
Totalitär,Sin Egen Monstandarte,880341012.0481929,,
D-Clone,"Enjoy d-beat & noise!!! 7""EP",878163324.3243245,,
Inepsy,"Madness And Overkill ""EP""",845719898.4375,,
Besthöven,Dis Means War,832946175.6373937,"Crust, brazil, crust punk, d-beat",
Inepsy,Rock'n'Roll Babylon,827938094.5159961,"d-beat, Crust, speed metal, Punk Metal",
No Security,When the Gist Is Sucked,825847736.8421053,,
Besthöven,A Bomb Raid Into Your Mind,816492430.1075268,,
Shitlickers,Cracked Cop Skulls (7''),815561265.6716417,,
Disfigure,Blank (HYLO Remix),810724704.4001852,,
D-Clone,Creation and Destroy LP,808466774.566474,,
Inepsy,R'N'R Babylon,794647941.1764705,,
PSA,Healthy Beginnings,789507000,,
Brain Killer,"Brain Killer 7""",785428291.8149465,,
Meanwhile,Reality Or Nothing,775278565.3846155,,
Disclose,Raw Brutal Assault Vol. 1 Disc 1,722970077.9220779,,
Anti Cimex,No Straight Edge Years81-86,718200794.1176472,,
Disclose,Tragedy,715380434.8799602,,
Totälickers,D-Beat Punk Barcelona Kaos,714817959.4594595,,
Brain Killer,Demo [Cassette],708268341.4096917,,
Mob 47,Ultimate Attack Discography Disc 1,701658133.3333333,,
Besthöven,A lei do mais fraco LP,697281921.47806,,
Disfigure,Losing Sleep,697192685.1385391,,
Distress,Suburban Showdown & Distress - Split CD,681616008.7719299,,
Distress,Демо,678491319.7674417,,
Seitan,D Beat Hippie Lover,665985589.5196507,,
Appäratus,Härdcore Religion!,661460953.5087719,,
Brain Killer,Brain Killer,659039576.8025078,,
Crudity,The Total End,641166152.542373,recorded in 1985,
Skeleton,what will you do? EP,638634375,,
Besthöven,"Blood, Pain, Death and Destruction",633145689.6551725,"punk, hardcore, Crust, brazil, d-beat",
Nuclëar Fröst,Nuclear Winter Gloom,630154362.3836128,,
Recharge,Hamburg '42,614067193.5483872,,
Brain Killer,Every Actual State Is Corrupt LP,612387770.6422019,,
4scums,Demo,611466810.8108108,,
Distress,Distress,592180005.6818182,"Crust, d-beat",
Kegcharge,Sadistic War Glory,582243965.8270128,Disbeat Assault,
Till Death,Last Wish,566954275.9550561,,
Totalitär,Wallbreaker 1986-1989,562170074.8182665,albums I own,
Edda,s_t,559491571.4285715,,
Disclose,Raw Brutal Assault Vol. 2: Discography 1994-1998 CD2,552417509.4339623,,
suburban showdown,Suburban Showdown & Distress Split,530910044.11764705,,
Anti Cimex,Anti cimex,528270886.16157454,,
Distress,Live in VEGAN Club,520565774.43609023,,
