Artist,Album,Weight,Tags,Published
Cattle Decapitation,Monolith of Inhumanity,70811577546.3973,"death metal, deathgrind, grindcore, 2012, Brutal Death Metal","15 Oct 2017, 09:04"
Nails,Abandon All Life,53387225210.51665,"grindcore, 2013, hardcore, powerviolence, Crust","15 Jan 2014, 15:16"
Napalm Death,Time Waits For No Slave,52148916942.79273,"grindcore, deathgrind, death metal, 2009, metal","17 Feb 2009, 16:31"
Napalm Death,From Enslavement To Obliteration,51304791535.46346,"grindcore, 1988, death metal, albums I own, orthodox grindcore",
Cattle Decapitation,The Anthropocene Extinction,43472399197.15311,"2015, deathgrind, death metal, grindcore, Brutal Death Metal","25 Nov 2015, 23:07"
Nails,Unsilent Death,42548824114.61504,"grindcore, powerviolence, hardcore, Crust, 2010",
Pig Destroyer,Phantom Limb,39685087456.124374,"grindcore, 2007, metal, death metal, albums I own",
Napalm Death,The Code Is Red...Long Live the Code,36056984452.10621,"grindcore, death metal, deathgrind, metal, 2005",
Magrudergrind,Magrudergrind,35457560695.02308,"grindcore, powerviolence, 2009, punk, hardcore","07 Feb 2010, 22:32"
Nails,You Will Never Be One Of Us,35222740805.22198,"grindcore, powerviolence, 2016, hardcore, Crust","09 Jul 2016, 21:26"
Pig Destroyer,Terrifyer,34987380362.28951,"grindcore, 2004, albums I own, death metal, metal",
Terrorizer,World Downfall,33062625332.408314,"grindcore, death metal, deathgrind, 1989, albums I own",
Nasum,Shift,31551216542.462532,"grindcore, 2004, albums I own, swedish, Grind",
Pig Destroyer,Prowler In the Yard,30914399539.743404,"grindcore, 2001, death metal, sludgecore, flawless",
Magrudergrind,62 Trax of Thrash,29817109165.434616,"grindcore, fast, thrash, 2005, powerviolence","08 Aug 2008, 20:33"
Graf Orlock,Destination Time: Yesterday,29607083405.172413,2006,
Nasum,Helvete,27397982891.801144,"grindcore, 2003, death metal, metal, swedish",
Napalm Death,Smear Campaign,26832126959.652363,"grindcore, death metal, deathgrind, albums I own, 2006",
Agoraphobic Nosebleed,Agorapocalypse,26124898078.2743,"grindcore, 2009, thrashcore, relapse records, noise",
Insect Warfare,World Extermination,24728276075.866795,"grindcore, 2007, albums I own, amazing, Love it",
Discordance Axis,The Inalienable Dreamless,23066887211.508118,"grindcore, 2000, albums I own, epic, wishlist",
Repulsion,Horrified,22283873507.88954,"grindcore, 1989, goregrind, death metal, favorite albums","05 Dec 2015, 19:25"
Nails,Unsilent Death (Final Master) 320,21394129630.18868,,
Milking the Goatmachine,Seven..A Dinner For One,21003183413.205536,"grindcore, death metal, deathcore, deathgrind",
Ultra vomit,objectif : thunes,20552518656.71642,,
Rotten Sound,Exit,20508650415.513786,"grindcore, metal, finnish, 2005, albums I own",
Rotten Sound,Cycles,20215665606.268555,"grindcore, 2008, metal, Crust, finnish",
The Berzerker,Animosity,20055530065.50616,"grindcore, death metal, Industrial Death Metal, industrial metal, 2007",
Excrementory Grindfuckers,"Fertig machen, Szeneputzen",19739828512.0388,,
Cephalic Carnage,Anomalies,19405010056.817776,"grindcore, death metal, 2005, Technical Death Metal, albums I own",
Excrementory Grindfuckers,Bitte Nicht Vor Den Gästen,19267777243.456436,,
Napalm Death,Utilitarian,19142855630.31298,"grindcore, death metal, 2012, deathgrind, albums I own",
Cephalic Carnage,Xenosapien,17690976052.992924,"death metal, grindcore, Technical Death Metal, 2007, Rocky Mountain HydroGrind","18 Dec 2008, 06:44"
Napalm Death,Enemy of the Music Business,17114125810.774008,"grindcore, death metal, deathgrind, 2000, metal","05 Dec 2011, 00:11"
Cattle Decapitation,The Harvest Floor,16897312649.36066,"death metal, deathgrind, Brutal Death Metal, grindcore, 2009","16 Nov 2009, 00:42"
Napalm Death,Apex Predator - Easy Meat,16589082962.430582,"grindcore, 2015, death metal, deathgrind, hardcore",
Napalm Death,Scum,16484154196.81787,"grindcore, death metal, 1987, albums I own, Grind","04 May 2015, 13:02"
The Berzerker,Dissimulate,16475275976.865805,"grindcore, death metal, Industrial Death Metal, 2002, industrial",
Ultra vomit,Panzer surprise !,15958413400.054651,,
Pig Destroyer,Book Burner,15733521675.394896,"grindcore, 2012, Grind, sexy music, relapse records",
Pig Destroyer,Book Burner (Deluxe Edition) CD1,14248128601.566578,,
The Berzerker,World Of Lies,14136435870.63757,"grindcore, industrial metal, Industrial Death Metal, death metal, cybergrind",
Fuck...I'm Dead,Bring on the Dead,13695387297.970507,"grindcore, goregrind, Brutal Death Metal, Dead, death metal",
Napalm Death,Utopia Banished,13689263252.901566,"grindcore, death metal, deathgrind, Brutal Death Metal, 1992","05 Dec 2011, 00:04"
Napalm Death,Utilitarian (Limited Edition),13428959772.253408,"grindcore, progressive grind",
Pig Destroyer,Terrifyer [Bonus DVD],13366746263.631552,,
Napalm Death,Harmony Corruption,13196426613.222462,"death metal, grindcore, 1990, deathgrind, Grind","13 Aug 2009, 04:57"
Assück,Anticapital Blindspot,12936554797.546011,grindcore,
Insect Warfare,Endless Execution Thru Violent Restitution,12726738854.189674,grindcore,
Rotten Sound,Cursed,11951842067.038754,"grindcore, albums I own, 2011, deathgrind, Grind",
Brutal Truth,Extreme Conditions Demand Extreme Responses,11803801201.452595,"grindcore, death metal, 1992, Brutal Death Metal, deathgrind",
Magrudergrind,Sixty Two Tracks Of Thrash (2002-2005),11506445850.498339,,
Nasum,Human 2.0,11346601712.536243,"grindcore, 2000, albums I own, death metal, metal",
Nasum,Inhale/Exhale,11246120629.618355,"grindcore, 1998, metal, swedish, albums I own",
Impetigo,Horror of the Zombies (Belarusian Edition),11212134000,,
Japanische Kampfhörspiele,Rauchen Und Yoga,11144280828.722221,"grindcore, death metal, 2007, grindpunk, 2000s",
The Locust,Plague Soundscapes,10765020428.365269,"grindcore, mathcore, noisecore, 2003, experimental","30 Dec 2020, 17:12"
Napalm Death,Order of the Leech,10417881792.602716,"grindcore, death metal, deathgrind, metal, albums I own",
Gridlink,Longhena,10257603819.103699,"grindcore, 2014, mathcore, technical grindcore",
Assück,Anticapital + Blindspot + 3,10240209552.631578,,
Napalm Death,"Fear, Emptiness, Despair",9829835995.679821,"death metal, grindcore, 1994, metal, deathgrind","04 Dec 2011, 23:55"
Rotten Sound,Murderworks,9531694594.077318,"grindcore, 2002, finnish, death metal, good",
Mumakil,Mumakil - Behold The Failure ( 2009 ),9505200000,,
Wormrot,Abuse,9300301370.831707,"grindcore, 2009, Crust, deathgrind, grindpunk",
Ernia,Gemelli,9092498773.828035,,
Repulsion,Horrified [2003 Re-issue],8923078073.610023,"grindcore, death metal",
Napalm Death,Inside the Torn Apart,8827276266.052595,"death metal, grindcore, metal, 1997, deathgrind",
Cock and Ball Torture,Sadochismo,8768964552.49833,"porngrind, grindcore, goregrind, pornogrind, Brutal Death Metal",
Wormrot,Dirge,8413359813.226107,"grindcore, 2011, deathgrind, Crust, singapore","05 Oct 2011, 07:00"
Napalm Death,Words From The Exit Wound,8322910787.138681,"grindcore, death metal, metal, 1998, deathgrind","05 Dec 2011, 00:09"
Wormrot,Voices,8237529239.875117,"grindcore, crustgrind, Crust, metal, deathgrind","14 Oct 2016, 17:15"
Nasum,Grind Finale (disc 2),8227132830.115831,grindcore,
See You Next Tuesday,Intervals,8145620265.041667,"grindcore, experimental, mathcore, deathcore, metal",
Cock and Ball Torture,Egoleech,7933308140.664169,"grindcore, goregrind, 2004, death metal, Brutal Death Metal",
Napalm Death,Diatribes,7878651434.312489,"death metal, grindcore, metal, groove metal, Industrial Death Metal",
Assück,Misery Index,7787297379.587099,"grindcore, 1997, Grind, metal, albums I own",
Excrementory Grindfuckers,Excrementory Grindfuckers,7567292036.953243,grindcore,
Discordance Axis,Original Sound Version 1992-1995,7085211387.900357,grindcore,
Leng Tch'e,Process of Elimination,6894570482.964225,"metal, grindcore, death metal, 2005",
Japanische Kampfhörspiele,Hardcore aus der Ersten Welt,6851988811.243719,"grindcore, 2004, death metal, peacedogman, jeas-reinhoer-planned",
Nasum,Grind Finale Disc 1,6804491460.674158,,
