Artist,Album,Weight,Tags,Published
Rammstein,Mutter,24890787029845.785,"albums I own, industrial metal, industrial, german, metal","10 Sep 2009, 15:53"
Detta,Age og Angels (EP),3052148450000,,
Rammstein,"Reise, Reise",1917114943479.0974,"industrial metal, albums I own, industrial, metal, 2004","13 Feb 2010, 12:52"
Rammstein,Rosenrot,1513557601629.3682,"industrial metal, albums I own, Rammstein, industrial, 2005","11 Sep 2008, 16:55"
Detta,Эра,1490312880375.0002,,
Detta,Последний вздох,1433188515375,,
Rammstein,Herzeleid,989050041822.1443,"industrial metal, albums I own, german, industrial, Rammstein","17 Oct 2013, 12:31"
Rammstein,Liebe ist für alle da,935725166598.3187,"industrial metal, albums I own, Rammstein, 2009, german","23 Jan 2010, 17:51"
Rammstein,Rammstein,802228211040.5403,"industrial metal, 2019, metal, Neue Deutsche Harte, industrial","20 Aug 2008, 03:11"
Rammstein,Sehnsucht,740724100823.03,"industrial metal, albums I own, german, industrial, metal","13 Feb 2009, 21:58"
Rammstein,Liebe ist fur alle da,499577994734.11304,"metal, industrial, industrial metal, Rammstein, 2009",
Detta,Detta I,355756182250.00006,,
Detta,Кокаина моя Кокаина (Single),282672864500,,
Detta,God 's Breath (Single),269259217999.99994,,
Turmion Kätilöt,Hoitovirhe,264661089580.84906,"industrial metal, albums I own, metal, finnish, dance metal","11 Nov 2013, 21:45"
Turmion Kätilöt,Pirun Nyrkki,228259396862.8839,"industrial metal, albums I own, finnish, finnish metal, metal","11 Nov 2013, 22:06"
Deathstars,Termination Bliss,223158468301.63016,"industrial metal, albums I own, gothic industrial, swedish, Gothic Metal","09 Sep 2016, 05:32"
Deathstars,Night Electric Night,204098072016.65494,"industrial metal, Gothic Metal, 2009, albums I own, Gothic","20 May 2009, 21:32"
Deathstars,Synthetic Generation,192812008701.32953,"industrial metal, albums I own, Goth Industrial metal, metal, industrial","09 Sep 2016, 05:26"
Oomph!,Monster,188968185642.74512,"industrial metal, monster, albums I own, best of 2008, metal",
Eisbrecher,Eiszeit,188505198434.66077,"industrial, industrial metal, eisbrecher, german, Gothic Metal","04 Jan 2014, 13:45"
Strapping Young Lad,Alien,180218209756.93134,"industrial metal, Progressive metal, albums I own, death metal, Extreme Metal",
Rammstein,Liebe Ist Für Alle Da [Deluxe Edition],178663479303.56583,"metal, germany, 2009, industrial, deutsch",
Static-X,Shadow Zone,173637913093.80588,"industrial metal, Nu Metal, metal, industrial, albums I own",
Fear Factory,Mechanize,173093465498.02676,"industrial metal, groove metal, 2010, death metal, metal",
Pain,Cynic Paradise,167266933140.75885,"industrial metal, metal, swedish, albums I own, industrial","17 Apr 2010, 15:33"
Sybreed,The Pulse of Awakening,159685238425.06122,"industrial metal, Melodic Death Metal, Masterpiece, death wave, groove metal","13 Aug 2009, 20:21"
Turmion Kätilöt,U.S.C.H!,157235055778.71097,"industrial metal, albums I own, best of 2008, eternal creations of infinite grandeur, top 20 of 2008",
Rammstein,The Very Best of,152395535297.84958,"industrial, industrial metal",
Fear Factory,Demanufacture,151684108286.86462,"industrial metal, albums I own, metal, 1995, groove metal",
Lindemann,Skills in Pills,149700312169.87222,"industrial metal, 2015, metal, industrial, german","05 Mar 2018, 10:08"
Rammstein,Liebe Ist für Alle Da (Special Edition),146406345908.07257,"metal, albums I own, industrial, german, industrial metal","17 Apr 2011, 10:06"
Pain,Nothing Remains The Same,145179198258.41418,"industrial metal, albums I own, industrial, swedish, industrial rock","19 Feb 2018, 15:42"
Oomph!,GlaubeLiebeTod,141317294129.60617,"industrial metal, metal, german, industrial, albums I own",
Rammstein,Sehnsucht [Limited Edition],139357711244.64365,1998,
Strapping Young Lad,City,136251879369.67342,"industrial metal, albums I own, Progressive metal, Extreme Metal, metal",
Turmion Kätilöt,Perstechnique,131170423876.99544,"industrial metal, best of 2011, Supreme Albums","12 Nov 2013, 09:31"
Rob Zombie,Hellbilly Deluxe,130631622931.69038,"industrial metal, metal, albums I own, 1998, heavy metal","29 Jan 2010, 09:08"
Rammstein,Deutschland,125380965026.3711,"metal, rock, deutschland, industrial metal, single","28 Mar 2019, 22:19"
Pain,Psalms of Extinction,123045326579.14944,"industrial metal, albums I own, swedish, heavy metal, metal","17 Apr 2010, 15:32"
Fear Factory,Archetype,121025920210.53137,"industrial metal, metal, albums I own, industrial, 2004",
Sybreed,Antares,119265542046.27426,"industrial metal, groove metal, Melodic Death Metal, best of 2007, Cyber Metal","16 Dec 2013, 17:20"
Oomph!,Ego,112594348755.20833,"industrial metal, german, rock, industrial, metal",
