Artist,Album,Weight,Tags,Published
Stoft,Lillasysters Sång,12505877400,,
Stoft,Brokenhearted,3229211941.6666665,,
Уфир,Скрижали Гнева И Отчаяния,2114160400.0000005,,
Morbid Winds,The Ruin of Forgotten Desolation,1903872413.7931037,,
Nokturnal Poetry,The Last War,1526833800,,
MAW,KARAMBOL,854481150,,
Ritual Knife,Hate Invocation,570781315.7900498,"black metal, raw black metal, black punk, 2017",
Stoft,A Feeling of Stoft,522388966.62721896,,
Brénoritvrezorkre,Vasagraèbe Éakr Vatrè Brénoritvrezorkre,491464843.63636357,,
Raw Moon,Demo 2010,489061500,,
Ride at Dawn,Satan's Din Demo I + II,463849038.46153843,,
Karl Ove Knausgård,Min Kamp - Bok 6,453750000,,
Nigrum Ignis Circuli,Ritual of Sabbath Pt. I - LEJDA,449494285.71428573,,
Karl Ove Knausgård,Min Kamp - Bok 5,410293500,,
Drakonhail,...Des Ailes...,407837445.8584337,,
Brénoritvrezorkre,Nèvgzérýa (5 Tracks),384976297.2972973,,
Alison Gold,Shush Up - Single,374392320,,
Stormfolk,Awakening,367896774.1935484,,
Hollow Hand,A World Outside,317594979.64434355,,
Bilirubin,"June 4, 2010 Rehearsal",305101500,,
Fatal Desolation,"Cold, Starless, Moonless",303607666.1706349,"black metal, raw black metal, japanese black metal",
Stormfolk,Broken Lovers,292340967.8947369,"black metal, metal, pagan metal, pagan black metal, raw black metal",
Karl Ove Knausgård,Min Kamp 4,259120235.2941177,,
Nocturnal Abyss,From the Depths of Mörkvod,234315427.5,,
Pillar Tombs Of Aku,Pillar Tombs of Aku,210673200,,
Karl Ove Knausgård,Min kamp - bind 2,191173500,,
VOËMMR,Nox Maledictvs,190109356.52173913,,
MAW,Meltem'den Işıklar'a,165468737.50000003,,
Black Beasts,Demo II,161618385.665529,,
Karl Ove Knausgård,Min kamp bind 1,161472000,,
Misanthropic,Open Up and Take Your Bullet,160381830.5084746,,
Drakonhail,Musiques De Nuit,159568206.16246498,,
Pains,Virales,147656250,,
Pains,Drown the Earth,135674455.7522124,,
Karl Ove Knausgård,Min Kamp - Bok 4,127896000,,
Ride at Dawn,Satan's Din,126150000,,
Distiphyxia,Overshadowed,125147344.55357143,,
House of Apparition,House of Apparition,123812801.4925373,,
Alison Gold,Chinese Food,118148020.65404476,,
Hollow Hand,Star Chamber,117699421.48760329,,
Brénoritvrezorkre,Vermyapreb,117450964.2857143,,
Euthanizer,Permanent Damage,117330121.62162161,,
Ride at Dawn,No Road Home,107839375,,
Hollow Hand,Ancestral Lands,106639941.90268698,,
MAW,MAW LP,104414482.70676692,,
Karl Ove Knausgård,Min Kamp I,101568000,,
My Purest Heart For You,Guilt Had Ambushed Me Once Again,97445593.5853379,,
Karl Ove Knausgård,Ute av verden,96303692.3076923,,
Misanthropic,Soulreaver,96238329.50266516,,
Graveflowers,The Hyacinth Garden,95551835.44717573,"noise, black metal, metal, experimental, portland",
VOËMMR,O ovnh intot adr mordrb,95338222.90076336,,
MAW,HOTEL,95127930.04769476,,
SKVLT,Demo,90804907.5630252,,
SKVLT,4 Songs EP,90357324.32432432,,
Nastran,Merkabah,88500358.28901733,,
House of Apparition,Spectre tape,87890889.90825689,,
Волчий Источник,Ремиссия Духа(Remission of Spirit),86480018.51851852,,
MAW,MAW,86327027.02702703,,
Spira,Nirvana Tribute (Live at the Blind Pig 04/09/2004),84672000,,
Hiver Noir,From The Dead Times Of Depression,83754174.54712223,"raw black metal, french black metal, french raw black metal",
Invertebrate,The Things I'd Do,81678386.28762543,,
Drakonhail,Vieille Forêt,81162956.80000001,,
Hiver Noir,Lethal Beings' Muzik,78560186.1419753,"raw black metal, french raw black metal",
Black Beasts,Demo I,78255483.87096775,,
MAW,MAW EP,77627021.73913044,,
Fatal Desolation,Cold Starless Moonless,76775543.47826086,,
