Artist,Album,Weight,Tags,Published
Fallbrawl,Cold World,662684275.4748982,"metalcore, 2008, melodic hardcore, CD, German Metalcore",
Circle of Death,Apocalypse,462176708.05585384,,
Words Of Concrete,East German Cold,432947611.79844326,,
Cold Hard Truth,Deliver the Fear,349630812.76015013,"2010, metalcore, metal, CD, january",
Circle of Death,Violent Intercourse,288151508.9501207,"2011, beatdown, 2-step, beatdown hardcore, moshcore",
Unit 731,A Plague Upon Humanity,277763536.30136985,"2007, CD, deathcore, beatdown metal, Bill Henderson",
The Last Charge,Charge for Life,255579149.84532893,hardcore,
Wild By Heart,Self-Titled (Ep),231034050.51903114,,
Dos Dias De Sangre,Dia de los Muertos,214757246.728281,"2008, full-length, Beatdown Hardwear Rec",
Unit 731,Res Ipsa Loquitur,201959389.39929327,"2010, CD, deathcore, Dave Piatek, FWH Records",
Dead End Tragedy,Unpreventable,198124807.43969777,,
Circle of Death,Hard To Live,189453600.61559507,,
Vow of Hatred,Vow Of Hatred,178137723.01626417,,
Fallbrawl,Pure Mayhem,169780695.04904252,"2012, CD",
Crackdown,Enough Is Enough,166957237.42222223,,
6 WEAPONS,Vida Salvaje,151714720.07722008,,
Murder Death Kill,Fuck with Us and Find Out,142525747.94520548,"beatdown hardcore, hardcore, favorite albums, moshcore","31 Jul 2010, 00:41"
Monument The Ghost,The Cop Out,134635515.59633026,,
Wild By Heart,Split,124126473.00380227,,
Thirsty of Hate,Porta 5,110770006.8306011,,
Blood By Days,As Thick As Thieves,107676286.98113206,,
Cold Blooded Murder,From Russia With Hate vol.3,104611585.1851852,,
xFat Assx,Our Blood,102611585.65400845,,
Cold Hard Truth,Reflect The Conflict,100087978.26086956,,
As A Drop Of Blood,Fall Of Your World,94436455.58583106,,
The Last Charge,Straight Outta Nowhere,91117024.3658211,,
Wild By Heart,Demo,88664049.81068574,,
xViciousx,XXIV,85918716.12492034,"deathcore, beatdown hardcore, moshcore, beatdown metal",
Laid 2 Rest,Unmatched Dominance,82186893.84615384,beatdown metal,
call for blood,Figura 1,81116336.01651187,,
Thirsty of Hate,Lado B,79056751.54639176,,
MTS,Betas,79032100,,
Crackdown,Day Of Reckoning,76395947.17182498,,
Domestic War,Ad Noctum,76140364.733648,metalcore,
Words Of Concrete,New Kidz on the Block,67382054.32172869,,
Cold Blooded Murder,(null),64355586.20689656,,
Brawl Between Enemies,Pure Rawness,63975132.66533066,,
Words Of Concrete,Between Home and Hell,60707144.68704512,,
Domestic War,The Darkest of Times,55390477.594339624,,
Clench Your Fist,Break The Jaw,55196068.69639794,,
Hate In Front,Louder Than Ever EP 2012,53378096.03174602,,
Enemy Mind,Enemy Mind,50107715.28150134,"hardcore, deathcore, beatdown metal",
BUTCHER,My Own War,49499468.280871674,,
.45 Stainless,O.G.B.D,48357506.47773279,,
Face Your Enemy,Do The Right Thing,47571841.568627454,,
Line of Scrimmage,Denounced,47353461.649365634,,
MTS,Beats,46922500,,
xViciousx,Values,45913988.34355829,,
xFat Assx,Alea Jacta Est / Fat Ass - Split CD 2008,45730598.68613139,,
ReCount,Love Hate Create Destroy,45331768.52367688,,
Fallbrawl,Fallbrawl 2007,43617800,,
IRON BEAR CUBS,Первый шаг,41588847.07520892,,
Cold Hard Truth,TRUTHGETTA,40978692.033542976,"deathcore, beatdown deathcore, beatdown metal",
STRIKE EACH OTHER,Keep The Things You Need,40760514.19656786,,
Murder Death Kill,Investigate Infiltrate Annihilate,39649390.243902445,,
hitorie,Howls,39378820.47067613,,
Fallbrawl,Chaos Reigns,37616223.55864811,,
xFat Assx,Split CD 2008,37611396.09756098,,
Pacto de Sangre,SANGRE JOVEN,36592506.15384615,,
Wild By Heart,Promo,35807671.17794486,"2009, promo",
Murder Death Kill,Instigate Infiltrate Annihilate,35263518.46645367,,
hitorie,Roomsick Girl Escape,35196050,,
Last to remain,Operation Beatdown,35195461.73020528,,
hitorie,Ai/Solate,34563082.14781058,,
Vow of Hatred,Demo 2008,33691248.01324503,,
Dead End Tragedy,Unpreventeble,33121625.396825396,,
Unit 731,The Hive Mind,29826557.542457543,deathcore,
.45 Stainless,O.G.B.D.,29763311.789038263,,
Murder Death Kill,Negative Reinforcement,28875625.430210326,"hardcore, beatdown hardcore",
hitorie,DEEPER,28727552.230166838,"rock, japanese, alternative, alternative rock, J-rock",
.45 Stainless,Divided,28441844.27480916,,
Crackdown,Live It Or Leave It,28167503.54767184,,
Fallbrawl,Brotherhood EP,27704005.202312138,,
Face Your Enemy,Steal The Crown,27277070.35236938,,
Pintglass,Way of the Geeza,26678739.693757363,"deathcore, beatdown metal",
xFat Assx,xOUR BLOODx,26190367.676767673,,
Words Of Concrete,New Kids on the Blog,26015347.05882353,,
The Last Charge,The Last Charge EP,25740502.48138958,,
Cold Hard Truth,Reflect The Conflict [EP],23803377.372262776,,
hitorie,WONDER and WONDER,23770304.734848484,,
Line of Scrimmage,Cinderblock Solution,23314393.406593405,,
BUTCHER,Beatdown Heavyweights MMIX - 4 Way Split CD,22732440.748898678,,
IRON BEAR CUBS,Мы останемся такими,22136049.61832061,,
Cold Blooded Murder,From Russia With Hate Vol.2,21632945.985401463,,
The Last Charge,The Last Charge (EP),20848820,,
Wild By Heart,Wild By Heart,20002812.5,,
Cold-Blooded Murder,From Russia With Hate Vol. 1,19057594.53125,,
Independenza,My Justice,18902494.814814813,,
Words Of Concrete,Negative Vibes,18734106.555772994,,
Wild By Heart,Self-Titled,18700523.529411763,,
Face Your Enemy,Message In A Bomb,18281379.31034483,,
Cold Blooded Murder,"Be Cold, Feel Blood",17992016.666666664,,
hitorie,Iki,17744165.468549423,,
Cold Blooded Murder,From Russia With Hate Vol.1,17528906.88259109,,
Against The Lie,Day By Day EP,17437196.694214873,,
Brawl Between Enemies,Pure Rawness [Explicit],16878050,,
Adidass Machine,Всё впереди,15947220.812182743,,
Mercy Blow,Coup de Grâce,15845774.399999999,"deathcore, slam death metal, Slamdown",
Cold Blooded Murder,Спаси и сохрани,15701406.25,,
BUTCHER,Auricle,15655288.923076922,2005,
