Artist,Album,Weight,Tags,Published
Kvelertak,Kvelertak,16538642390.254307,"black metal, Black n Roll, 2010, hardcore punk, Stoner Rock","30 Jun 2010, 01:25"
Amesoeurs,Amesoeurs,13240911235.526102,"black metal, post-punk, shoegaze, atmospheric black metal, post-rock","12 Nov 2018, 03:03"
Cradle of Filth,Nymphetamine,10701699446.267057,"black metal, albums I own, Symphonic Black Metal, Gothic Metal, Extreme Gothic Metal","03 Sep 2008, 08:15"
Burzum,Filosofem,9431465641.569775,"black metal, ambient black metal, atmospheric black metal, dark ambient, albums I own","27 Apr 2009, 23:26"
Dimmu Borgir,Puritanical Euphoric Misanthropia,9292202219.201473,"Symphonic Black Metal, black metal, albums I own, melodic black metal, metal","17 Sep 2008, 21:14"
Diabolical Masquerade,Death's Design,8475622323.228249,"black metal, 2001, Symphonic Black Metal, progressive black metal, Progressive metal","01 Oct 2008, 09:11"
Mayhem,De Mysteriis Dom Sathanas,8417341087.844563,"black metal, Norwegian Black Metal, True Norwegian Black Metal, 1994, true black metal","08 Dec 2008, 19:43"
Cradle of Filth,Godspeed on the Devil's Thunder,7919014392.582734,"black metal, Symphonic Black Metal, albums I own, Gothic Metal, Extreme Gothic Metal","19 May 2009, 10:24"
Batushka,Litourgiya,7646205252.763353,"black metal, doom metal, Orthodox Black Metal, 2015, polish","21 Dec 2015, 21:37"
Dimmu Borgir,Enthrone Darkness Triumphant,7300176010.015006,"Symphonic Black Metal, black metal, melodic black metal, albums I own, Norwegian Black Metal","17 Sep 2008, 21:16"
Anaal Nathrakh,In the Constellation of the Black Widow,7182686981.502771,"black metal, grindcore, conentric power of annihilating armageddon wave that incinerates every atom in the entire universe in an infinite instant, 2009, industrial black metal","19 Aug 2013, 17:57"
Deathspell Omega,Paracletus,7128777254.946749,"black metal, 2010, progressive black metal, Avant-Garde Black Metal, Post-Black Metal","28 Jul 2012, 20:50"
Dimmu Borgir,Death Cult Armageddon,7121578377.204462,"Symphonic Black Metal, black metal, albums I own, melodic black metal, metal","17 Sep 2008, 21:15"
Burzum,Belus,7079863947.041053,"black metal, atmospheric black metal, Norwegian Black Metal, 2010, true black metal","21 Feb 2010, 18:24"
Satyricon,"Now, Diabolical",6906215640.798071,"black metal, albums I own, Norwegian Black Metal, Black n Roll, metal","09 Nov 2008, 18:37"
Absurd,Der Fünfzehnjährige Krieg,6604326256.450903,"black metal, pagan metal, nsbm, German Black Metal, albums I own",
Immortal,Sons of Northern Darkness,6522629943.540929,"black metal, albums I own, Norwegian Black Metal, melodic black metal, True Norwegian Black Metal","18 Jan 2013, 22:51"
Dimmu Borgir,In Sorte Diaboli,6405597463.158156,"Symphonic Black Metal, black metal, albums I own, melodic black metal, metal","17 Sep 2008, 21:18"
Bathory,Bathory,6123956218.207262,"black metal, thrash metal, old school black metal, 1984, albums I own","30 Apr 2009, 05:49"
Dissection,Storm of the Light's Bane,5968529078.963942,"black metal, melodic black metal, albums I own, death metal, 1995","30 Jul 2010, 16:06"
Dissection,Reinkaos,5850945924.840409,"Melodic Death Metal, black metal, albums I own, 2006, melodic black metal","30 Jul 2010, 16:03"
Satyricon,The Age of Nero,5698297116.458853,"black metal, Norwegian Black Metal, 2008, metal, albums I own","10 Jul 2009, 07:07"
Summoning,Let Mortal Heroes Sing Your Fame,5664763910.72295,"black metal, atmospheric black metal, epic black metal, albums I own, 2001","24 Jul 2009, 19:32"
Cradle of Filth,Midian,5459231288.445826,"black metal, Symphonic Black Metal, Gothic Metal, albums I own, metal","03 Sep 2010, 16:46"
Cradle of Filth,Damnation and a Day,5440716312.636381,"black metal, albums I own, Symphonic Black Metal, Gothic Metal, Extreme Metal",
Emperor,In the Nightside Eclipse,5438390781.045647,"black metal, Symphonic Black Metal, albums I own, Norwegian Black Metal, melodic black metal","29 Nov 2008, 20:41"
Dimmu Borgir,Abrahadabra,5298437991.51832,"Symphonic Black Metal, black metal, symphonic metal, albums I own, 2010","28 Nov 2010, 10:12"
Rotting Christ,Aealo,5251599360.167097,"black metal, 2010, melodic black metal, Dark metal, Folk Black Metal",
Watain,Sworn to the Dark,5231486199.5428095,"black metal, swedish black metal, 2007, religious black metal, metal","18 Aug 2010, 00:30"
Bathory,Blood Fire Death,5176375067.348663,"black metal, viking metal, thrash metal, albums I own, 1988","30 Apr 2009, 05:43"
Deafheaven,Sunbather,5060337894.2610855,"2013, Post-Black Metal, blackgaze, Officially Shit, shit only a fag would listen to","04 Jun 2013, 01:21"
Emperor,Anthems To The Welkin At Dusk,4882745898.407456,"black metal, Symphonic Black Metal, albums I own, Norwegian Black Metal, metal","23 Jun 2015, 18:47"
Dissection,The Somberlain,4824815145.179326,"black metal, melodic black metal, albums I own, Melodic Death Metal, death metal","31 Jul 2010, 15:13"
Anaal Nathrakh,Vanitas,4773199925.432418,"black metal, grindcore, 2012, industrial black metal, death metal","19 Aug 2013, 18:06"
Mgła,Exercises in futility,4762415441.682557,"black metal, 2015, polish black metal, best of 2015, albums I own",
Kvelertak,Meir,4700531921.145216,"2013, hardcore, black metal, Black n Roll, metal","18 Nov 2013, 16:43"
Burzum,Det Som Engang Var,4682827038.649674,"black metal, atmospheric black metal, albums I own, ambient black metal, dark ambient","27 Apr 2009, 23:33"
Cradle of Filth,Bitter Suites to Succubi,4666779371.157219,"black metal, albums I own, Symphonic Black Metal, Gothic Metal, Extreme Gothic Metal",
Darkthrone,Transilvanian Hunger,4612446937.790327,"black metal, albums I own, Norwegian Black Metal, True Norwegian Black Metal, raw black metal","29 Jul 2008, 09:44"
Watain,Lawless Darkness,4522387788.130673,"black metal, 2010, melodic black metal, favourite albums, best albums ever","18 Aug 2010, 00:29"
Bathory,Under the Sign of the Black Mark,4378455985.8818245,"black metal, old school black metal, first wave black metal, 1987, thrash metal","30 Apr 2009, 05:59"
Windir,1184,4340717772.28255,"black metal, viking metal, folk metal, melodic black metal, 2001","30 Sep 2016, 07:59"
Primordial,To the Nameless Dead,4205251775.2484584,"black metal, pagan metal, folk metal, doom metal, albums I own",
Peste Noire,Ballade cuntre lo Anemi Francor,4189016762.7326055,"black metal, Avant-Garde Black Metal, atmospheric black metal, raw black metal, french black metal","08 Jun 2009, 23:09"
