Artist,Album,Weight,Tags,Published
Rat City,Kind of Love (feat. Isak Heim),2066657472000,,
Rat City,I Just Wanna Dance,1507163344400,,
Rat City,Kind Of Love,1196404074000,,
Rat City,Naked (With My Headphones On),612913899000,,
Rat City,Deliriously Good,188165010000,,
The Americans,I'll Be Yours,43669702056.19835,,
Left≈°ver Crack,Fuck World Trade,20717928000,,
Glom,Matches,18994658400,,
Uhreja Kuten Me Kaikki,"Koska vettä ei ole juotavaksi tyydymme hiekkaan, emme siksi ettei ole vaihtoehtoa vaan siksi ettemme ymmärrä eroa.",17113527200,"punk, Crust, crust punk",
Rat City,Naked (With My Headphones On - Tungevaag Remix),11734227000,,
Rat City,Kind Of Love (tyDi Remix),8205264000,,
Mohan,Udaan,7973280000,,
The Americans,"Son of Rogues Gallery: Pirate Ballads, Sea Songs & Chanteys",7926471000,,
The Happening,The Boat that rocked (CD2),7163226000,,
Rat City,Naked (With My Headphones On - Remixes),6480999000,,
Rat City,Kind of Love (feat. Isak Heim) - Single,4840021000,,
Rat City,Naked (With My Headphones On) [Remixes],4458780000,,
Lifeless Dark,Who Will Be The Victims?,3735635904,"Female fronted metal, metal, punk, thrash metal, crust punk",
Tuscoma,Arkhitecturenominus,2604770550,,
Dispyt,Under Tiden Jag Sålde Min Själ Till Satan,2546676000,,
My recording,download,1944999000,,
Dispyt,Den ständigt närvarande ångesten,1817640000,,
The Americans,EP,1537752187.5,,
Rat City,Naked (With My Headphones On) [Tungevaag Remix],1338090000,,
Amordazados,Nacimos sin derecho a vivir...,1269180000,,
The Happening,As Deep As We Can Go Without Drowning,1136758844,,
KUON,Cherry Phantasm,1125252000,,
KUON,Touhou Sougentou,1121484000,,
Glom,Merit,1076247810,,
Marsz na Waszyngton,Demo,1069488000,"punk, Crust, crust punk, Punx, Anarcho",
Sepulchre,I,1066920000,,
Warpriest,Archaic Revival,876312088.888889,,
Robot Wars,Robot Wars,847938000,,
The Americans,Texas Killing Fields: Music From the Motion Picture,822624000,,
Mohan,The Ultra Lounge,820925999.9999999,,
The Americans,The White EP,813731352,,
MvD,Light,607161600,,
Wölfblood,Nightriders,601777176.0000001,,
Truncheons,Truncheons demo 2011,571050000,,
Glom,Fungus,547596000,,
The Americans,Home Recordings,498014451.85185176,,
Pig City,Terminal Decline,442188734.6938776,2019,
Vomitus,Sutimov,431802000,,
The Americans,First Recordings,431562600,,
Rat City,Kind Of Love (feat. Isak Heim) [tyDi Remix],422280000,,
The Americans,The Americans EP,416399359.99999994,,
Sepulchre,Sepulchre,408006225,,
Tetano,...di stato si muore,406866000,,
Dispyt,Livsglädje,401625000,,
Mohan,Shor In The City,390060000,,
My recording,music,377718000,,
Tuomiopäivän Lapset,Discography 2xLp,348480000,,
Glom,Bond,333852750,,
DOLDREY,Invocation of Doom,325080000,,
Ruinas,Ikonoklasta,312138723.0769231,,
Bleach Everything,So We Gnaw,297740061.2244898,2019,
Private Jesus Detector,P.J.D. demo tape,293580000,,
Extincion,Orange Buddha,277042150,,
Glom,Stuck,230256000,,
Extincion,Extincion,229789500,,
La Vendetta,In Memoriam,199800000,,
Extincion,Manyula,182325000,,
Krigblåst,Dawn Of The Apocalypse,182127407.4074074,,
The Americans,Music from The American Epic Sessions (Deluxe),178965000,,
This Home Is Prepared,This Home Is Prepared,168805000,,
DOLDREY,Doldrey,160851460,,
La Vendetta,Amanece en el infierno,156672000,,
Rat City,Tell You,141930000,,
Krigblåst,Power Till Demise,132009846.42857143,,
The Americans,"Son of Rogues Gallery: Pirate Ballads, Sea Songs & Chanteys CD1",130560000,,
Cracked Cop Skulls,"No Fucking Tears For The Pieces Of Shit 7""",128160000,,
Rat City,Deliriously Good - Single,126836500,,
Bunt,Podnie  pięść!,125172000,,
O Cúmplice,Split W Besta,121824000,,
My recording,My Recording,116308500,,
The Americans,Requiem featuring Sean Lennon,116188800,,
Amordazados,Nacimos Sin Derecho A Vivir,115005000,,
Bleach Everything,RFTCC,114294400,,
Casus,17 Chwil,113670000,,
Rat City,I Just Wanna Dance (Lt Wee Remix),113565000,,
The Americans,Texas Killing Fields - Music From The Motion Picture,112752000,,
Bleach Everything,Free Inside,108600333.33333334,,
Ruinas,Ruinas,108359155.1020408,,
Warpriest,Demo,104040000.00000001,,
Vomitus,A Galaxy of Thought,103269000,,
Cracked Cop Skulls,Why Pussyfoot When You Can Kill? 7'',101520000.00000001,,
O Cúmplice,O Cúmplice,97781000,,
Campus Sterminii,Life is a nightmarish struggle,92572958.67768595,,
Rat City,On My Own,91164000,,
Rat City,Naked,89652000,,
My recording,bluetooth,88800000,,
Warpriest,Archaic Revival EP,88200000,,
The Happening,This Is What Feminism Sounds Like,79695000,,
Mohan,Shor in the City (Original Motion Picture Soundtrack),78795000,,
Glom,Awash,78076600,,
Disease,defeating scheme/becoming divine,76224000,,
Glom,Tell Me Who to Be,72324000,,
Dispyt,Min sanna vän / svept i vita lakan,71115000,,
Bunt,Journey,64605000,,
Tuscoma,Discourse,62376693.75,,
