Artist,Album,Weight,Tags,Published
Restless Oblivion,Sands Of Time,54717678.11447812,"doom metal, Death Doom Metal, Doom, depressive, death doom",
Soliloquium,Contemplations,18341164.453524005,"Death Doom Metal, metal, swedish, Progressive metal, doom metal",
Soliloquium,Things We Leave Behind,13895607.142857142,"Death Doom Metal, metal, Progressive metal, doom metal, Melodic Death Metal",
Doomed,6 Anti-Odes To Life,8766037.113402061,"doom metal, Death Doom Metal",
Sad Whisperings,Sensitive To Autumn,8341389.803921568,"doom metal, Death Doom Metal, metal, Melodic Death Metal, 90s",
Soliloquium,An Empty Frame,7940907.48091603,"metal, swedish, Progressive metal, sad, doom metal",
Pulchra Morte,Divina Autem Et Aniles,5202408.491947291,"2019, Death Doom Metal",
Deathomorphine,Virgin Flower,4821229.518072289,"doom metal, russian, Doom, Russia, Death Doom Metal","07 Nov 2011, 03:06"
Etherial Winds,Find The Way... Together,4476008.064516129,"death metal, Death Doom Metal, doom death metal, death-doom",
Maleficium,This illusion of Humanity,3493383.7438423643,"doom metal, Melodic Death Metal, death metal, Death Doom Metal",
Etherial Winds,Saved,1881832.7102803737,"albums I own, Death Doom Metal",
Soliloquium,The Concept of Escape,823061.7647058823,"doom metal, Doom, Death Doom Metal, metal, death metal",
Deathomorphine,Overlord of Pain (Single),51342.22222222222,"doom metal, russian, Doom, Death Doom Metal, Death/Doom Metal","24 Apr 2012, 09:27"
