Artist,Album,Weight,Tags,Published
Bring Me the Horizon,Suicide Season,49986810328.50727,,
Bring Me the Horizon,Count Your Blessings,31824721516.54165,,
We Butter the Bread With Butter,Der Tag an dem die Welt unterging,22203678762.777485,,
Suicide Silence,The Cleansing,21350724171.814293,,
Bring Me the Horizon,That's The Spirit,21290340699.9684,,
Born of Osiris,The Discovery,16459833938.58045,,
Bring Me the Horizon,"There Is a Hell Believe Me I've Seen It, There Is a Heaven Let's Keep It a Secret",14341347540.71207,,
Suicide Silence,No Time to Bleed,13024527902.066252,,
As Blood Runs Black,Allegiance,11966086827.697653,,
Bring Me the Horizon,"There Is a Hell, Believe Me I've Seen It. There Is a Heaven, Let's Keep It a Secret",11916070811.337887,,
Bring Me the Horizon,There Is A Hell Believe Me I've Seen It. There Is A Heaven Let's Keep It A Secret,11916070811.337887,,
All Shall Perish,Awaken the Dreamers,11739288786.139456,,
We Butter the Bread With Butter,Das Monster aus dem Schrank,10845232841.905207,,
All Shall Perish,The Price Of Existence,10107487146.49,,
Veil of Maya,[id],9224832552.2332,,
Carnifex,The Diseased And The Poisoned,8546472232.959456,,
Whitechapel,This Is Exile,8445751748.666742,,
Suicide Silence,The Black Crown,8314508162.651528,,
Bring Me the Horizon,Sempiternal,8147187163.177847,,
Chelsea Grin,Desolation of Eden,7116105984.473581,,
Whitechapel,A New Era Of Corruption,7090924427.533629,,
Bring Me the Horizon,Sempiternal (Deluxe),6717966022.834711,,
Thy Art Is Murder,Hate,6421260068.389058,,
Despised Icon,The Ills of Modern Man,6296153168.342533,,
Carnifex,Hell Chose Me,6145577103.230323,,
Carnifex,Dead in My Arms,6023048134.081844,,
Despised Icon,Day Of Mourning,5774814170.511414,,
Attila,About That Life,5752865859.930043,,
Veil of Maya,Eclipse,5543014789.963681,,
Veil of Maya,The Common Man's Collapse,5207504819.545122,,
Whitechapel,Whitechapel,5204282842.778971,,
Betraying the Martyrs,Breathe In Life,5089558130.9090395,,
Born of Osiris,A Higher Place,4826889270.041241,,
Born of Osiris,The New Reign,4791206878.183195,,
Whitechapel,The Somatic Defilement,4682038109.271713,,
Whitechapel,Somatic Defilement,4682038109.271713,,
