Artist,Album,Weight,Tags,Published
Earth,The Bees Made Honey in the Lion's Skull,1071043121669142.8,"drone, instrumental, post-rock, 2008, doom metal","07 Oct 2019, 12:32"
Sunn O))),Black One,642340710883200,"drone, drone metal, 2005, drone doom, black metal","27 Dec 2016, 23:00"
Sunn O))),Monoliths & Dimensions,577851702415368.8,"drone, 2009, drone doom, dark ambient, experimental","06 Oct 2009, 05:41"
Boris,Pink,509906093282550.3,"Stoner Rock, japanese, noise rock, drone, rock","06 May 2009, 11:02"
Boris,Flood,387558470819994.5,"post-rock, drone, ambient, experimental, 2000","08 Jan 2013, 11:19"
Earth,Earth 2,241661153188000,"drone, drone metal, drone doom, 1993, albums I own",
Boris,Amplifier Worship,222178874777244,"drone, doom metal, Sludge, 1998, japanese",
Sunn O))) & Boris,Altar,196235938416866.66,"drone, drone doom, 2006, experimental, albums I own",
Boris,Akuma No Uta,188074274157000,"Stoner Rock, drone, albums I own, Psychedelic Rock, hard rock","16 Mar 2009, 11:43"
Earth,"Angels Of Darkness, Demons Of Light 1",154043030883152.62,"2011, post-rock, drone, instrumental, ambient","02 Jan 2011, 18:13"
Sunn O))),White2,129979044816731.25,"drone, drone metal, 2004, ambient, albums I own",
Sunn O))),Flight of the Behemoth,112730132491200,"drone, drone doom, 2002, noise, drone metal","21 Aug 2018, 16:00"
Earth,Hibernaculum,112084114263300,"drone, heavy metal, instrumental rock, 2007, drone doom",
Nadja,Touched,97017561583200,"drone, dark ambient, drone metal, drone doom, ambient","12 Aug 2010, 09:46"
Earth,Pentastar: In the Style of Demons,90425650329925.31,"Stoner Rock, drone, 1996, favorite albums, stoner",
The Angelic Process,Weighing Souls With Sand,71649123696330.5,"drone metal, shoegaze, drone, 2007, drone doom","25 Nov 2014, 14:17"
Earth,Primitive and Deadly,62000090397504,"2014, drone, Stoner Rock, psychedelic, Psychedelic Rock",
Earth,Earth 2: Special Low Frequency Version,59978900064000,"drone, drone doom, 1993, doom metal, drone metal",
Sunn O))),White1,57214722661777.77,"drone, 2003, ambient, doom metal, drone metal",
Sunn O))),The Grimmrobe Demos,54862350456600,"drone, 2000, 1999, albums I own, drone doom",
Earth,Phase 3: Thrones and Dominions,44756854890087.5,"drone, doom metal, Doom, drone metal, drone doom",
Kumbhaka,Healing Memories,43725917448888.89,,
Boris,Pink (Deluxe Edition),41379270019319.99,"japanese, noise rock, Stoner Rock, 2016, hard rock",
Nadja,Radiance of Shadows,40982740440333.336,"drone, drone metal, metal, ambient, albums I own",
Sunn O))),Dømkirke,38681882938475,"drone, live, drone doom, 2008, drone metal",
Khanate,Things Viral,35857397615782.5,"2003, doom metal, drone, drone doom, metal",
Sunn O))),Oracle,33541559060000,"drone, drone metal, 2007, ep, noise",
Nadja,Corrasion,31212168848437.5,"drone, drone metal, ambient, 2003, metal",
Sebastian Paul,TROJAN HORSE,30781835364000,,
Earth,Hex: Or Printing in the Infernal Method,30734630334000,"drone, instrumental, metal, albums I own, atmospheric",
Khanate,Khanate,28507984042440,"doom metal, drone metal, drone, Sludge, 2001",
Earth,HEX; Or Printing in the Infernal Method,22126568487349.926,"post-rock, experimental, drone, doom metal, 2005",
Boris,Boris at Last - Feedbacker,20017657091880,"albums I own, 2003, drone, favorite albums, ambient","07 Feb 2010, 22:44"
Nadja,Truth Becomes Death,19975122862140,"drone metal, drone, 2005, dark ambient, ambient",
Locrian,Return to Annihilation,19390561096555.1,"experimental, drone, noise, psychedelic, 2013",
Earth,"Angels of Darkness, Demons of Light II",18397416687616,"2012, instrumental, drone, stoner metal, doom jazz","05 Feb 2012, 18:03"
Khanate,Clean Hands Go Foul,16298389844100,"doom metal, drone, drone metal, experimental, Doom",
