Artist,Album,Weight,Tags,Published
Lacuna Coil,Karmacode,5061138811269473,"Gothic Metal, albums I own, Female fronted metal, metal, female vocalists","14 Jan 2009, 21:00"
Lacuna Coil,Comalies,3986747300129510,"Gothic Metal, albums I own, Female fronted metal, metal, female vocalists","20 Feb 2012, 04:10"
Sirenia,At Sixes and Sevens,1659820347908800,"Gothic Metal, symphonic metal, Female fronted metal, metal, albums I own","13 Nov 2009, 15:56"
Lacuna Coil,In a Reverie,1493148071049234.5,"Gothic Metal, albums I own, Female fronted metal, female vocalists, metal","01 Jul 2009, 14:17"
Lacuna Coil,Unleashed Memories,1308153347933760,"Gothic Metal, albums I own, Female fronted metal, metal, Gothic","14 Jun 2016, 14:33"
Leaves' Eyes,Lovelorn,1305405281402508,"symphonic metal, Gothic Metal, Female fronted metal, albums I own, Gothic",
Sirenia,An Elixir for Existence,1294737449550355.8,"Gothic Metal, albums I own, symphonic metal, metal, Sirenia",
Type O Negative,October Rust,1162740116161450.5,"Gothic Metal, albums I own, doom metal, 1996, favorite albums","17 Nov 2008, 01:38"
Type O Negative,Life Is Killing Me,1156285311084014.2,"Gothic Metal, albums I own, doom metal, 2003, metal","17 Nov 2008, 01:43"
Type O Negative,Bloody Kisses,1152429701528452,"Gothic Metal, albums I own, doom metal, metal, 1993","17 Nov 2008, 01:35"
Tristania,World of Glass,1013356997138222.2,"Gothic Metal, symphonic metal, Female fronted metal, albums I own, metal","24 Jul 2008, 16:29"
Sentenced,The Funeral Album,885371551693000,"Gothic Metal, albums I own, heavy metal, Melodic Death Metal, metal",
Moonspell,Wolfheart,818721907536975,"Gothic Metal, black metal, albums I own, 1995, Dark metal",
Krypteria,In Medias Res,797834583677824,"Female fronted metal, Gothic Metal, symphonic metal, Krypteria, female vocalists",
Tiamat,Wildhoney,757433102349112,"Gothic Metal, doom metal, 1994, Progressive metal, Gothic","16 Oct 2008, 17:10"
Tristania,Illumination,744830469727779.1,"Gothic Metal, symphonic metal, albums I own, Female fronted metal, doom metal","07 Aug 2008, 10:53"
The Gathering,Mandylion,742728555226385,"albums I own, Progressive metal, Gothic Metal, Atmospheric metal, 1995","10 Feb 2014, 15:49"
Paradise Lost,Symbol of Life,728881807095041.4,"Gothic Metal, albums I own, metal, Gothic Rock, industrial metal","24 Aug 2010, 10:45"
Tristania,Widow's Weeds,684036371777348.2,"Gothic Metal, albums I own, Gothic Doom Metal, symphonic metal, Female fronted metal","07 Aug 2008, 11:07"
Nemesea,In Control,665167831796988,"Gothic Metal, symphonic metal, Female fronted metal, albums I own, nemesea",
Lacuna Coil,Shallow Life,662379342680075.2,"albums I own, Gothic Metal, alternative metal, metal, 2009","11 Dec 2013, 22:55"
After Forever,After Forever,624010553140710.5,"symphonic metal, Gothic Metal, albums I own, Female fronted metal, Power metal","10 Oct 2013, 08:31"
Xandria,India,612317799820088.9,"Gothic Metal, symphonic metal, Female fronted metal, Gothic, german",
Type O Negative,Dead Again,609458485271160,"Gothic Metal, albums I own, doom metal, metal, 2007","17 Nov 2008, 01:44"
Sirenia,Nine Destinies And A Downfall,574197292246115.8,"Gothic Metal, symphonic metal, albums I own, Female fronted metal, Gothic Rock",
Moonspell,Irreligious,571996592467051.2,"Gothic Metal, doom metal, metal, albums I own, black metal",
Lacuna Coil,Delirium,541111612105792,"2016, alternative metal, Gothic Metal, metalcore, metal","11 Jun 2016, 02:40"
Sentenced,Crimson,496507864194115.75,"Gothic Metal, albums I own, Melodic Death Metal, Gothic Rock, melodic metal",
The Gathering,Souvenirs,494622324098602.6,"trip rock, albums I own, Progressive rock, Gothic Metal, favourite albums",
Sentenced,The Cold White Light,487829199160177.56,"albums I own, Gothic Metal, metal, finnish, Melodic Death Metal",
Paradise Lost,Draconian Times,480195879821305.5,"Gothic Metal, doom metal, 1995, albums I own, metal","24 Aug 2010, 10:42"
Type O Negative,World Coming Down,462282691204297.06,"albums I own, Gothic Metal, doom metal, 1999, metal","17 Nov 2008, 01:40"
Paradise Lost,Paradise Lost,449443104375016.6,"Gothic Metal, albums I own, doom metal, 2005, Gothic Rock","24 Aug 2010, 10:44"
Theatre of Tragedy,Aegis,424521656406000,"Gothic Metal, Gothic, favourite albums, Gothic Rock, Female fronted metal","24 Aug 2010, 09:22"
Xandria,Kill the Sun,420721158855140,"Gothic Metal, symphonic metal, Gothic, Gothic-Xandria, 2003",
Moonspell,Extinct,414632542924800,"Gothic Metal, 2015, best of 2015, black metal, Gothic Rock","28 Dec 2014, 22:06"
Lacuna Coil,Dark Adrenaline,412989916394085.5,"alternative metal, 2012, Gothic Metal, albums I own, Female fronted metal","06 Nov 2011, 23:52"
Sentenced,Frozen,402699858353527.8,"Gothic Metal, albums I own, heavy metal, melodic metal, metal",
Xandria,Ravenheart,382200145131527.8,"Gothic Metal, symphonic metal, Female fronted metal, Gothic, albums I own",
