Artist,Album,Weight,Tags,Published
Frank Carter & The Rattlesnakes,Modern Ruin,59405123601722.22,"hardcore punk, punk, hardcore, 2017, post-hardcore",
Discharge,Hear Nothing See Nothing Say Nothing,57097277111981.86,"hardcore punk, d-beat, hardcore, 1982, crust punk","08 May 2018, 21:14"
Frank Carter & The Rattlesnakes,Blossom,52173781739856.01,"punk, hardcore punk",
Frank Carter & The Rattlesnakes,Lullaby,27429799098000,,
Poison Idea,Feel the Darkness,23536508671769.387,"hardcore punk, punk, punk rock, hardcore, favorite albums",
Frank Carter & The Rattlesnakes,Crowbar,20334402176400,,
Discharge,Why,16306524336960,"hardcore punk, d-beat, hardcore, 1981, good",
Gang Green,Another Wasted Night,14653725084900,"hardcore punk, punk, 1986, self-produced, Essential Albums","19 Dec 2010, 22:55"
OFF!,First Four EPs,11927920427101.25,"2010, hardcore punk, albums I own, debut album, rock","06 May 2012, 23:10"
Negative Approach,Total Recall,9615219974817.176,"hardcore punk, 1992, hardcore, angry, Irreverent",
Discharge,"Hear Nothing, See Nothing, Say Nothing",9198452034000,"hardcore punk, punk, hardcore, crossover, d-beat",
Jerry's Kids,Is This My World?,8881676089628.47,"hardcore, hardcore punk, punk, 80s, 80s hardcore",
Frank Carter & The Rattlesnakes,Spray Paint Love,8777449440000,,
Angel Du$t,Rock The Fuck On Forever,5023623012373.373,"hardcore punk, punk, hardcore, punk rock, melodic hardcore",
Angel Du$t,Pretty Buff,4407919641559.171,,
OFF!,OFF!,4297109338408.3047,"punk, hardcore punk, 2012, rock, hardcore",
D.O.A.,Last Scream of the Missing Neighbors,3719414916000,,
Discharge,Discharge,3540762387692.308,"hardcore punk, anarcho-punk, hardcore, Crust, crust punk",
Frank Carter & The Rattlesnakes,Devil Inside Me,3271978200000,,
Gang Green,Preschool,3019678106580,"hardcore punk, punk, hardcore, early boston hardcore",
Discharge,Clay Punk Singles Collection,2816023395000,"4, hardcore punk, Classic Punk",
G.I.S.M.,Detestation,2758393391958.75,"crust punk, Crust, hardcore punk, Punk Metal, harcore",
Poison Idea,Pick Your King,2741464886229.5854,"hardcore punk, 1983, 80s, punk, hardcore",
Angel Du$t,A.D.,2607194986541.667,"hardcore, hardcore punk",
Western Addiction,Cognicide,2337897404422.222,"hardcore, albums I own, punk rock, 2005, melodic hardcore",
MDC,Now More Than Ever (V2),2260571439000,,
Discharge,Never Again,2201779784285.7144,"Crust, 1998, crust punk, hardcore punk, UK Punk",
MDC,Millions of Dead Cops - Millennium Edition (Remastered),2032452012000,,
MDC,Hey Cop!!! If I Had A Face Like Yours...,2001160800000,"hardcore punk, albums I own, anarcho-punk, 1990s, 1991",
Die Kreuzen,Die Kreuzen,1970932128603.5,"hardcore, hardcore punk, punk, metal, alternative",
The Teen Idles,Minor Disturbance,1882288291979.6875,"hardcore punk, punk rock, favourite albums",
Crucifix,Dehumanization,1814104972791.8364,"anarcho-punk, hardcore punk, punk, hardcore, albums I own",
Void,Side B,1795544244000,"80s hardcore, hardcore punk, cobaintop50",
Warthog,Warthog,1684928179687.5,,
Frank Carter & The Rattlesnakes,Fire,1673249983200,,
Cloak/Dagger,We Are,1572939781707.1428,"2007, hardcore punk, jade tree",
Frank Carter & The Rattlesnakes,Wild Flowers,1564007709600,,
Poison Idea,Kings of Punk,1512401822217.5374,"punk, albums I own, hardcore, 1986, hardcore punk",
OFF!,Wasted Years,1403535112551.111,"2014, hardcore punk, top, 2010s, off",
D.O.A.,Something Better Change,1301359207836.7346,"Classic Punk, Canadian, punk rock, hardcore punk, 1980s",
Government Warning,No Moderation,1267856547840.0002,"hardcore, 2006, hardcore punk, us",
Wasted Youth,Reagan's In,1265238282525,"hardcore punk, heavy metal, punk, hardcore, hard rock","09 Sep 2008, 10:59"
OFF!,Compared to What / Rotten Apple,1221577474400,,
Verbal Abuse,Just an American Band,1187925705235.5,"hardcore, punk, hardcore punk, favorite albums, great lyrics",
Die Kreuzen,October File,1182268986800,"metal, punk, hardcore, post-punk, favorite albums",
Angel Du$t,Lil House,1114120731500,,
Negative Approach,Tied Down,1061557874090,"hardcore punk, 1983, hardcore, DL",
SS Decontrol,Get It Away,1054532209500,,
Negative Approach,Negative Approach,1051552134666,"hardcore, hardcore punk",
MDC,Millions Of Dead Cops,1022143286828.5713,"hardcore, hardcore punk, punk, Old school Hardcore, 1982",
Angel Du$t,Xtra Raw,1021822436990.625,,
War on Women,Capture the Flag,1002721878000,,
MDC,Millions of Dead Cops/More Dead Cops,984953601000,,
Government Issue,Legless Bull,874356480000,hardcore punk,
Articles of Faith,Give Thanks,842428653552.7778,"hardcore punk, hardcore",
Poison Idea,Feel the Darkness (2018 Reissue),805489920000,,
Battalion of Saints,Death-R-Us,790706559479.8612,hardcore punk,
G.L.O.S.S.,Demo 2015,787706714124,"sjw, kid rock, ugly, hick-hop, Creed",
Government Warning,Arrested,781878611150,,
Rich Kids on LSD,Riches To Rags,742648408066.1157,"albums I own, nardcore",
Articles of Faith,Core,725026472542.9688,"punk, hardcore, hardcore punk",
SS Decontrol,The Kids Will Have Their Say,701329119311.1111,"hardcore, hardcore punk, 1982",
Government Issue,Boycott Stabb,655857976819.8347,,
The Good The Bad and The Zugly,Misanthropical House,604088785483.3334,,
Big Boys,The Fat Elvis,593925587703.2258,"punk, hardcore, hardcore punk, funk punk",
Frank Carter & The Rattlesnakes,Nothing Breaks Like a Heart,577352664000,,
Negative FX,Negative FX & Last Rights,565081501523.84,"punk, hardcore, Straight Edge, punk rock, 80's",
Void,Condensed Flesh,544723949037.037,"hardcore punk, hardcore, thrashcore",
Gang Green,Another Case of Brewtality,540868640911.5312,hardcore punk,
Frank Carter & The Rattlesnakes,I Hate You,535404672000,,
MDC,Now More Then Ever,487332909000,,
Frank Carter & The Rattlesnakes,Anxiety,480113346600,,
The Good The Bad and The Zugly,Anti World Music,475638624925.69446,,
Discharge,Decontrol: The Singles,473616990000,,
Discharge,Fight Back,434317521024,"hardcore punk, d-beat, hardcore, anarcho-punk, uk Hardcore",
D.O.A.,War and Peace,434309291659.1716,"punk, hardcore, hardcore punk, bums bums",
Frank Carter & The Rattlesnakes,Spotify Singles,428502442200,,
Discharge,Early Demos - March - June 1977,397129864121.3018,,
Discharge,Realities of War,383647746000,"hardcore punk, d-beat",
JFA,Blatant Localism,376278595000.00006,,
D.O.A.,War On 45,362757709600,"Canadian, 2005, hardcore punk, 2000s, 1980s","03 Sep 2008, 17:32"
Big Boys,Wreck Collection,331145600252.5952,,
The Good The Bad and The Zugly,Algorithm & Blues,329371970325.4438,,
Western Addiction,Tremulous,321785892272.7273,,
Discharge,Disensitise,316722750806.25,"hardcore, Crust, crust punk, hardcore punk",
Discharge,Never Again LP,313375230000,,
Cloak/Dagger,Lost Art,297050914476.33136,albums I own,
D.O.A.,Bloodied But Unbowed,269567966610.52634,"hardcore punk, Canadian, 1986, 1980s, bowing",
Kaaos,Totaalinen Kaaos,268153076056.25,"punk, hardcore punk, indie, hardcore, albums I own",
D.O.A.,Hardcore '81,263905569301.0381,"hardcore, hardcore punk, 1981,  punk",
Big Boys,The Skinny Elvis,263297425017.3913,,
D.O.A.,Hardcore 81,259521742814.2857,"80s, punk, best albums of 1981, punk rock, political",
The Good The Bad and The Zugly,Staying With The Trouble,259401644400,,
Raw Power,Screams from the Gutter after Your Brain,252243450000,"hardcore punk, albums I own, italian, Punk-Hardcore, headbangers ball",
