Artist,Album,Weight,Tags,Published
In Flames,Come Clarity,17134140893177622,"Melodic Death Metal, albums I own, metal, death metal, metalcore","12 Jul 2009, 04:57"
Children of Bodom,Are You Dead Yet?,10172575881511468,"Melodic Death Metal, albums I own, death metal, Power metal, metal","23 May 2009, 21:18"
Arch Enemy,War Eternal,9537991575603200,"Melodic Death Metal, 2014, death metal, albums I own, female vocalist","13 Jun 2014, 18:47"
Amon Amarth,Twilight of the Thunder God,8853616138448286,"Melodic Death Metal, viking metal, albums I own, 2008, death metal","29 Jun 2013, 18:09"
Children of Bodom,Follow the Reaper,8489269741544019,"Melodic Death Metal, albums I own, Power metal, metal, death metal","14 May 2016, 10:04"
In Flames,Reroute to Remain,8486440873171116,"Melodic Death Metal, albums I own, metal, swedish, alternative metal","06 Jan 2009, 12:30"
In Flames,Clayman,8225463655707031,"Melodic Death Metal, albums I own, death metal, metal, favourite albums","10 Jul 2013, 15:39"
In Flames,A Sense of Purpose,8007495539165483,"Melodic Death Metal, albums I own, alternative metal, metal, melodic metal","28 Oct 2012, 23:21"
Children of Bodom,Hate Crew Deathroll,6844923910133799,"Melodic Death Metal, albums I own, Power metal, finnish, death metal","16 May 2012, 11:22"
Wintersun,Wintersun,6044990730238969,"Melodic Death Metal, Power metal, folk metal, albums I own, viking metal","17 Jan 2013, 19:46"
Children of Bodom,Hatebreeder,5723939620626048,"Melodic Death Metal, albums I own, Power metal, death metal, metal","14 May 2016, 11:01"
Arch Enemy,Doomsday Machine,5655152528546591,"Melodic Death Metal, albums I own, death metal, swedish, 2005","15 Aug 2010, 14:48"
Insomnium,Winter's Gate,5189966436968400,"Melodic Death Metal, 2016, Progressive metal, death metal, concept album","13 Dec 2016, 17:05"
In Flames,Soundtrack to Your Escape,5117641528660000,"Melodic Death Metal, albums I own, metal, alternative metal, 2004","10 Jul 2013, 15:36"
Amon Amarth,With Oden On Our Side,5003945870995166,"Melodic Death Metal, viking metal, albums I own, death metal, metal","09 Jan 2014, 04:57"
Amon Amarth,Fate of Norns,4296234067962375,"Melodic Death Metal, viking metal, death metal, albums I own, metal","29 Jun 2013, 18:47"
In Flames,Colony,3436572623237567,"Melodic Death Metal, albums I own, death metal, metal, Swedish Metal","10 Jul 2013, 15:24"
Sonic Syndicate,Only Inhuman,3327783819558000,"Melodic Death Metal, metalcore, albums I own, Swedish Metal, melodic metalcore","25 Aug 2010, 13:32"
Soilwork,Stabbing the Drama,2881776628536724,"Melodic Death Metal, albums I own, metal, death metal, Swedish Metal","26 Aug 2010, 09:50"
Dark Tranquillity,Fiction,2857618488724326.5,"Melodic Death Metal, albums I own, death metal, metal, Masterpiece","24 Sep 2013, 11:23"
Dark Tranquillity,Atoma,2795684742152400,"Melodic Death Metal, 2016, best of 2016, metal, swedish","23 Nov 2016, 17:54"
Soilwork,Figure Number Five,2617192731853897,"Melodic Death Metal, albums I own, Swedish Metal, metal, death metal","26 Aug 2010, 09:52"
Arch Enemy,Anthems of Rebellion,2553754411856751.5,"Melodic Death Metal, death metal, albums I own, Female fronted metal, metal","15 Aug 2010, 14:45"
At the Gates,Slaughter of the Soul,2433094784121653,"Melodic Death Metal, death metal, albums I own, 1995, favorite albums","27 Apr 2009, 18:54"
In Flames,Whoracle,2418734337201250,"Melodic Death Metal, albums I own, metal, 1997, death metal","09 Mar 2009, 18:08"
In Flames,Sounds of a Playground Fading,2239062188051534,"alternative metal, Melodic Death Metal, modern metal, 2011, heavy metal","28 Oct 2012, 23:22"
Children of Bodom,Something Wild,2126850417451867.2,"Melodic Death Metal, albums I own, death metal, Power metal, metal","02 Apr 2011, 21:53"
In Flames,The Jester Race,2098095842778045,"Melodic Death Metal, death metal, albums I own, 1996, metal","10 Jul 2013, 15:45"
The Black Dahlia Murder,Nocturnal,2074334500058436,"Melodic Death Metal, death metal, deathcore, albums I own, metalcore","10 Feb 2014, 18:43"
Amaranthe,The Nexus,1968600077117100,"2013, Power metal, Melodic Death Metal, modern metal, metal",
Sonic Syndicate,Eden Fire,1759389630878880,"Melodic Death Metal, metalcore, albums I own, metal, death metal","08 Jun 2011, 23:58"
Dark Tranquillity,Damage Done,1602059799759738.8,"Melodic Death Metal, albums I own, death metal, metal, 2002",
Children of Bodom,Blooddrunk,1512436479649011.5,"Melodic Death Metal, albums I own, death metal, metal, 2008","21 Aug 2008, 18:04"
Arch Enemy,Rise of the Tyrant,1471834648289687.5,"Melodic Death Metal, albums I own, death metal, 2007, thrash metal","30 Jan 2010, 15:33"
Dark Tranquillity,Character,1444962838732231.2,"Melodic Death Metal, albums I own, death metal, metal, gothenburg metal",
The Black Dahlia Murder,Miasma,1372863448415744,"Melodic Death Metal, metalcore, death metal, albums I own, deathcore",
Amon Amarth,Versus The World,1289788637768686.5,"Melodic Death Metal, viking metal, death metal, albums I own, metal","29 Jun 2013, 18:53"
Soilwork,Natural Born Chaos,1193984371080750,"Melodic Death Metal, albums I own, Swedish Metal, metal, death metal","26 Aug 2010, 09:50"
Insomnium,Above the Weeping World,1100473766494103.8,"Melodic Death Metal, albums I own, death metal, Progressive metal, doom metal","23 Apr 2009, 09:18"
Amon Amarth,Once Sent From The Golden Hall,1018285069547484.4,"Melodic Death Metal, death metal, viking metal, albums I own, metal","29 Jun 2013, 18:48"
Scar Symmetry,Pitch Black Progress,1008445410364861.5,"Melodic Death Metal, albums I own, Progressive metal, death metal, metal",
Arch Enemy,Wages of Sin,1001236884485801.5,"Melodic Death Metal, albums I own, death metal, metal, 2001","07 Sep 2008, 23:58"
Insomnium,Across the Dark,951844708605071.9,"Melodic Death Metal, Progressive metal, doom metal, 2009, albums I own","31 Jul 2009, 17:12"
Amon Amarth,The Crusher,916794101355000,"Melodic Death Metal, death metal, viking metal, albums I own, metal","03 Feb 2010, 09:58"
Soilwork,Sworn to a Great Divide,909758375866718.8,"Melodic Death Metal, albums I own, metal, metalcore, death metal","26 Aug 2010, 09:51"
Wintersun,Time I,854697699005540,"Melodic Death Metal, symphonic metal, progressive blackened homoerotic weeaboo metal, leather daddy rape soundtrack, misanthropic gay romance nostalgia metal","17 Jan 2013, 19:58"
Scar Symmetry,Holographic Universe,832979887142325,"Melodic Death Metal, Progressive metal, progressive melodic death metal, progressive death metal, death metal","23 Jul 2009, 22:30"
Dark Tranquillity,The Gallery,799657995492287.6,"Melodic Death Metal, albums I own, death metal, gothenburg metal, Swedish Metal","23 Mar 2011, 17:11"
Children of Bodom,I Worship Chaos,764007304632000,"Melodic Death Metal, Power metal, death metal, thrash metal, metal","14 May 2016, 15:11"
Amon Amarth,The Avenger,721568035001543.8,"Melodic Death Metal, viking metal, death metal, albums I own, metal","29 Jun 2013, 18:50"
Dark Tranquillity,Projector,716625392747670,"Melodic Death Metal, albums I own, death metal, metal, Progressive metal","24 Sep 2013, 11:26"
Amon Amarth,Deceiver of the Gods,703712792839680,"Melodic Death Metal, viking metal, 2013, wrathful beard metal, death metal","29 Jun 2013, 18:58"
Dark Tranquillity,Haven,668323133871771.1,"Melodic Death Metal, albums I own, death metal, metal, 2000","05 Aug 2008, 12:54"
The Black Dahlia Murder,Unhallowed,661903876826811,"Melodic Death Metal, albums I own, death metal, deathcore, metal","02 Feb 2009, 03:36"
Dark Tranquillity,We are the Void,631732910714876,"Melodic Death Metal, 2010, melodic goatse metal, albums I own, metal","01 Feb 2010, 13:18"
Eternal Tears of Sorrow,Before The Bleeding Sun,596152483903574,"Melodic Death Metal, symphonic metal, albums I own, symphonic death metal, death metal",
Norther,Mirror of Madness,559134212519624.7,"Melodic Death Metal, albums I own, death metal, Power metal, heavy metal",
Soilwork,The Panic Broadcast,545365618010433,"Melodic Death Metal, 2010, Masterpiece, albums I own, alternative metal","26 Aug 2010, 09:54"
Norther,Death Unlimited,539139842678616.7,"Melodic Death Metal, death metal, albums I own, Power metal, metal","27 Mar 2015, 00:34"
Kalmah,For the Revolution,515827812742735.8,"Melodic Death Metal, death metal, metal, 2008, flawless album","30 Mar 2015, 16:29"
Amaranthe,Amaranthe,504766112402272.9,"Melodic Death Metal, modern metal, Power metal, Pop Metal, 2011","01 Sep 2013, 12:37"
Sonic Syndicate,Love and Other Disasters,503632819363322,"metalcore, Melodic Death Metal, metal, heavy metal, alternative metal","16 Feb 2009, 07:20"
In Flames,Lunar Strain,479006371437244.94,"Melodic Death Metal, albums I own, death metal, folk metal, metal","23 Apr 2014, 11:15"
Insomnium,One for Sorrow,434326236490503,"Melodic Death Metal, 2011, death metal, doom metal, heavy metal","30 Jun 2014, 20:40"
Arch Enemy,Stigmata,427494280565955.5,"Melodic Death Metal, death metal, albums I own, swedish, metal",
Insomnium,Since the Day It All Came Down,426876956918985.1,"Melodic Death Metal, Progressive metal, albums I own, finnish metal, 2004",
Insomnium,Shadows Of The Dying Sun,418273320422135.75,"Melodic Death Metal, 2014, best of 2014, finnish, albums I own","11 Apr 2014, 20:25"
Amon Amarth,Jomsviking,408544537158795.9,"Melodic Death Metal, metal, viking metal, 2016, wrathful beard metal","28 Mar 2016, 01:03"
Arch Enemy,Burning Bridges,380016711768330,"Melodic Death Metal, death metal, albums I own, swedish, thrash metal",
Soilwork,A Predator's Portrait,367254217654631.94,"Melodic Death Metal, albums I own, metal, death metal, Swedish Metal","26 Aug 2010, 09:49"
Blinded Colony,Bedtime Prayers,358229937740133.3,"Melodic Death Metal, swedish, metalcore, death metal, melodic metal",
Disarmonia Mundi,Fragments Of D-Generation,353372995180800,"Melodic Death Metal, albums I own, Progressive metal, metal, 2004",
Norther,N,345416892581658.3,"Melodic Death Metal, albums I own, death metal, best of 2008, metal",
Amon Amarth,Surtur Rising,342003458658944.44,"Melodic Death Metal, viking metal, 2011, death metal, albums I own","29 Jun 2013, 19:00"
Arch Enemy,Khaos Legions,335967656458163.25,"Melodic Death Metal, 2011, death metal, heavy metal, Female fronted metal","27 Aug 2013, 05:37"
Arch Enemy,Black Earth,325759836476388.9,"Melodic Death Metal, death metal, albums I own, thrash metal, swedish",
Be'lakor,Stone's Reach,322113005997750,"2009, Melodic Death Metal, progressive death metal, best of 2009, metal","01 Aug 2009, 23:42"
Kalmah,Swampsong,316391925333659.25,"Melodic Death Metal, albums I own, Power metal, 2003, death metal","03 Mar 2015, 21:58"
Kalmah,Swamplord,305028847111406.25,"Melodic Death Metal, death metal, Power metal, 2000, flawless album",
The Black Dahlia Murder,Deflorate,304256858913720,"Melodic Death Metal, death metal, deathcore, albums I own, metalcore","10 Aug 2010, 13:32"
Soilwork,The Chainheart Machine,297386732878704,"Melodic Death Metal, albums I own, death metal, metal, 2000",
In Flames,Subterranean,293412465957135.8,"Melodic Death Metal, albums I own, the real In Flames, 1995, metal",
DeadLock,Wolves,288627181630604.94,"Melodic Death Metal, metalcore, death metal, 2007, favourite albums",
Kalmah,They Will Return,285643031881360.5,"Melodic Death Metal, Power metal, death metal, albums I own, 2002","28 Jan 2012, 09:50"
Be'lakor,Of Breath and Bone,276055568453320.3,"Melodic Death Metal, progressive death metal, 2012, Progressive metal, best of 2012","03 Jun 2014, 08:25"
Children of Bodom,Relentless Reckless Forever,259722686984062.5,"Melodic Death Metal, death metal, 2011, metal, thrash metal","26 Jan 2011, 17:15"
Scar Symmetry,Symmetric in Design,251388557729441.7,"Melodic Death Metal, albums I own, progressive death metal, Swedish Metal, modern metal","28 Jan 2012, 10:06"
Blood Stain Child,Mozaiq,245219806540013.22,"Melodic Death Metal, techno metal, trance metal, metal, dance metal","06 May 2015, 10:19"
Disarmonia Mundi,Mind Tricks,240477777417884,"Melodic Death Metal, albums I own, metal, Progressive metal, best of 2006","01 Oct 2008, 13:45"
Arch Enemy,Will To Power,234743894766000,"Melodic Death Metal, 2017, swedish, Female fronted metal, metal","07 Sep 2017, 19:38"
Insomnium,In the Halls of Awaiting,214111124321912,"Melodic Death Metal, death metal, Progressive metal, doom metal, albums I own","01 Sep 2008, 22:47"
Kalmah,The Black Waltz,209935752296685.97,"Melodic Death Metal, death metal, heavy metal, best of 2006, Awesome","04 Jul 2014, 17:28"
Dark Tranquillity,The Mind's I,207340018250625,"Melodic Death Metal, albums I own, death metal, 1997, Swedish Death Metal","23 Mar 2011, 17:20"
The Black Dahlia Murder,Ritual,190564803804375,"Melodic Death Metal, death metal, this is not deathcore, albums I own, 2011",
At the Gates,Terminal Spirit Disease,180338688422148.16,"Melodic Death Metal, death metal, albums I own, 1994, metal","18 Dec 2008, 06:36"
Sonic Syndicate,Only Inhuman - Tour Edition,180330053087250,"metalcore, Melodic Death Metal, symphonic death metal",
Norther,Till Death Unites Us,177697263984345.8,"Melodic Death Metal, albums I own, metal, finnish metal, death metal","27 Mar 2015, 00:33"
Children of Bodom,In Your Face,177689199563333.34,"Melodic Death Metal, albums I own, thrash metal, finnish, trash metal",
In Mourning,Shrouded Divine,166844479255781.25,"Melodic Death Metal, progressive death metal, 2008, Progressive metal, metal",
Dark Tranquillity,Construct,165068955677134.75,"Melodic Death Metal, 2013, best of 2013, albums I own, death metal","21 May 2013, 12:47"
