Artist,Album,Weight,Tags,Published
Parkway Drive,Horizons,73855712159.65732,"metalcore, hardcore, metal, 2007, albums I own","30 Jun 2013, 18:25"
Parkway Drive,Deep Blue,63701200858.74341,"metalcore, hardcore, 2010, metal, melodic metalcore","08 Sep 2010, 13:48"
Avenged Sevenfold,Nightmare,43769579541.60835,"hard rock, 2010, heavy metal, metalcore, alternative metal","22 Jul 2010, 05:42"
Bullet for My Valentine,The Poison,37796001499.81729,"metalcore, albums I own, metal, hardcore, emocore","05 Oct 2008, 04:34"
Bullet for My Valentine,Scream Aim Fire,37218153294.773605,"metalcore, albums I own, metal, thrash metal, heavy metal","05 Oct 2008, 04:41"
Avenged Sevenfold,City of Evil,37010049803.13679,"metal, hard rock, albums I own, metalcore, heavy metal","28 Jul 2020, 13:42"
Killswitch Engage,The End of Heartache,33935169451.529633,"metalcore, albums I own, metal, hardcore, Melodic Death Metal","11 Nov 2012, 15:32"
The Devil Wears Prada,With Roots Above and Branches Below,32923055038.61031,"metalcore, hardcore, Christian Metalcore, post-hardcore, christian","03 Jul 2009, 00:53"
Killswitch Engage,As Daylight Dies,32282499409.577953,"metalcore, albums I own, metal, melodic metalcore, hardcore","19 Oct 2009, 14:11"
All That Remains,The Fall of Ideals,31434531528.5255,"metalcore, Melodic Death Metal, metal, albums I own, melodic metalcore","05 Nov 2008, 03:57"
Parkway Drive,Killing With a Smile,30969462554.224716,"metalcore, metal, hardcore, melodic metalcore, 2005","30 Jun 2013, 18:24"
Architects,Hollow Crown,28997450007.191624,"metalcore, mathcore, hardcore, metal, math metal","25 Mar 2009, 08:35"
Trivium,In Waves,28749067316.00578,"metalcore, thrash metal, 2011, heavy metal, metal","07 Sep 2011, 19:34"
Avenged Sevenfold,Avenged Sevenfold,27873380153.91372,"hard rock, heavy metal, albums I own, metal, metalcore","19 Dec 2008, 20:24"
As I Lay Dying,An Ocean Between Us,27787095154.294483,"metalcore, albums I own, Melodic Death Metal, hardcore, metal","05 Nov 2008, 04:09"
Architects,Lost Forever // Lost Together,27781617223.850304,"metalcore, post-hardcore, 2014, mathcore, Progressive Metalcore","28 Feb 2014, 08:10"
Avenged Sevenfold,Waking The Fallen,24518972397.03885,"metalcore, metal, albums I own, 2003, hard rock","20 Jul 2013, 08:29"
Bullet for My Valentine,Fever,23933053351.84689,"metalcore, 2010, heavy metal, metal, melodic metalcore","01 May 2010, 19:59"
As I Lay Dying,Shadows Are Security,23146534210.260986,"metalcore, albums I own, metal, hardcore, 2005","30 Jul 2010, 22:47"
Heaven Shall Burn,Iconoclast,23007448375.938946,"metalcore, Melodic Death Metal, death metal, deathcore, metal",
August Burns Red,Constellations,22190924981.030872,"metalcore, Christian Metalcore, hardcore, 2009, Technical Metalcore","16 Oct 2012, 20:48"
Parkway Drive,Atlas,22095747406.13944,"metalcore, hardcore, albums I own, 2012, melodic metalcore","11 Sep 2012, 15:20"
Trivium,Ascendancy,22055399318.95964,"metalcore, thrash metal, albums I own, metal, 2005","30 Jul 2010, 22:53"
Architects,Daybreaker,20937285683.338585,"metalcore, mathcore, post-hardcore, hardcore, FUCKING AWESOME","01 Feb 2014, 22:49"
Protest the Hero,Fortress,20048815416.48085,"Progressive metal, Progressive Metalcore, mathcore, metalcore, albums I own","03 Aug 2008, 15:34"
Trivium,Shogun,19481318895.193336,"thrash metal, metalcore, metal, albums I own, best trivium album","30 Jul 2010, 23:03"
Killswitch Engage,Alive or Just Breathing,19455326650.593758,"metalcore, albums I own, hardcore, metal, 2002","11 Nov 2012, 15:33"
