Artist,Album,Weight,Tags,Published
Parkway Drive,Horizons,73855712159.65732,,
Parkway Drive,Deep Blue,63701200858.74341,,
Avenged Sevenfold,Nightmare,43769579541.60835,,
Bullet for My Valentine,The Poison,37796001499.81729,,
Bullet for My Valentine,Scream Aim Fire,37218153294.773605,,
Bullet for My Valentine,Scream Aim Fire Deluxe Edition,37218153294.773605,,
Avenged Sevenfold,City of Evil,37010049803.13679,,
Killswitch Engage,The End of Heartache,33935169451.529633,,
The Devil Wears Prada,With Roots Above and Branches Below,32923055038.61031,,
Killswitch Engage,As Daylight Dies,32282499409.577953,,
All That Remains,The Fall of Ideals,31434531528.5255,,
Parkway Drive,Killing With a Smile,30969462554.224716,,
Architects,Hollow Crown,28997450007.191624,,
Trivium,In Waves,28749067316.00578,,
Avenged Sevenfold,Avenged Sevenfold,27873380153.91372,,
As I Lay Dying,An Ocean Between Us,27787095154.294483,,
Architects,Lost Forever // Lost Together,27781617223.850304,,
Avenged Sevenfold,Waking The Fallen,24518972397.03885,,
Bullet for My Valentine,Fever,23933053351.84689,,
As I Lay Dying,Shadows Are Security,23146534210.260986,,
Heaven Shall Burn,Iconoclast,23007448375.938946,,
August Burns Red,Constellations,22190924981.030872,,
Parkway Drive,Atlas,22095747406.13944,,
Trivium,Ascendancy,22055399318.95964,,
Architects,Daybreaker,20937285683.338585,,
Protest the Hero,Fortress,20048815416.48085,,
Trivium,Shogun,19481318895.193336,,
Killswitch Engage,Alive or Just Breathing,19455326650.593758,,
Lamb of God,Sacrament,19397249218.80385,,
Architects,All Our Gods Have Abandoned Us,19136720156.37876,,
Lamb of God,Ashes Of The Wake,18090838660.461487,,
The Devil Wears Prada,Dead Throne,16581422618.495209,,
Architects,Holy Hell,15896570605.449703,,
Killswitch Engage,Disarm The Descent,15655230657.320389,,
Architects,The Here And Now,15370132573.90702,,
The Ghost Inside,Get What You Give,14989833996.933609,,
Five Finger Death Punch,The Way Of The Fist,14684737268.847294,,
As I Lay Dying,The Powerless Rise,14139509306.548574,,
All That Remains,Overcome,14048595173.724567,,
Killswitch Engage,Killswitch Engage,13920721062.649418,,
The Ghost Inside,Returners,13836086809.727016,,
As I Lay Dying,Frail Words Collapse,13712334106.37089,,
August Burns Red,Messengers,13692070592.423328,,
Emmure,Speaker of the Dead,13673875476.456686,,
Miss May I,Apologies Are For The Weak,13148338856.805323,,
Breakdown of Sanity,MIRRORS,13041209368.981464,,
Dead by April,Dead by April,12868819879.298166,,
Atreyu,Lead Sails Paper Anchor,12801726993.503065,,
Atreyu,The Curse,12645298603.220976,,
Trivium,The Crusade,12616027966.011436,,
Avenged Sevenfold,Sounding the Seventh Trumpet,12484790166.842724,,
Five Finger Death Punch,War Is the Answer,11458597986.455748,,
The Devil Wears Prada,Plagues,11066542523.06895,,
Callejon,Videodrom,10700621811.92427,,
Callejon,Zombieactionhauptquartier,10408255539.266985,,
In This Moment,Blood,10323049648.108389,,
August Burns Red,Leveler,10303756282.506659,,
As I Lay Dying,Awakened,10192921160.143957,,
The Agonist,Lullabies For The Dormant Mind,10083904404.940996,,
For the Fallen Dreams,Relentless,10002139905.301945,,
Bullet for My Valentine,Scream Aim Fire (Japanese Edition),9991442680.067106,,
Bullet for My Valentine,The Poison Digipak,9904375012.08868,,
Northlane,Singularity,9807834291.362814,,
Frontside,Teoria Konspiracji,9440166269.662529,,
Dead by April,Dead by April deluxe,9187728228.952574,,
