Artist,Album,Weight,Tags,Published
Ictus,Imperivm,9467168256000,"melodic metalcore, dark metalcore, Crust, Masterpiece, Vegan",
Lago,Karibu,5382470715750,,
Downfall of Gaia,Atrophy,4596689019100,"hardcore, emo, Crust, Sludge, screamo",
Ekkaia,Demasiado tarde para pedir perdón,3574396702691.3584,"neocrust, spanish, hardcore, Crust, 2004",
Downfall of Gaia,Epos,2099217293740,"2010, black metal, hardcore, post-rock, doom metal",
Alpinist,Minus.Mensch LP,2085739038000,,
Shiv,Golden,2024657604900,,
Downfall of Gaia,Aeon Unveils the Thrones of Decay,1689372967164.2856,"2014, metal, german, 2010s, decay",
Ekkaia,Manos que estrechan planes de muerte y sometimiento,798845237873.5538,"screamo, neocrust, Crust, hardcore, post-hardcore",
ATO,Intro (feat. EDEN),629600688000,,
ATO,EP3,514741311000,,
Masakari,The Profit Feeds,496827564000,,
ATO,Yours Now,426579728400,,
ATO,94 Dreaming,415346540800,,
Ekkaia,Sombras Del Progreso,370441165556,,
Madame Germen,As Cicatrizes Do Paraiso,367704904000,"hardcore, Crust, neocrust, spanish, d-beat",
Alpinist,Lichtlaerm/ Minus.Mensch,341928060000,,
Anopheli,The Ache Of Want,327406331800,,
ATO,Darkroom (feat. EDEN),319058916400,,
Downfall of Gaia,Downfall Of Gaia,296995654831.25,"german, 2013, 2010s, neocrust, compilation album",
Reflections of Internal Rain,Last Flood,294509009428.5714,,"06 Nov 2010, 23:50"
Minuala,Крики Черных Птиц,293335299000,,
ATO,HEAVEN (feat. EDEN),249467010000,,
Remains of the Day,An Underlying Frequency,245729896612.2449,"Crust, d-beat, neocrust, melodic crust",
Remains of the Day,Hanging On Rebellion,230389353461.72842,,
Anopheli,A hunger rarely sated,223199737980.00003,,
Alpinist,Demo 2007,215584200000,"metalcore, screamo, Good Metal, neocrust",
ATO,24,195076074600,,
Madame Germen,Invocacion A Morte,189473647371.4286,"neocrust, hardcore, Crust, screamo, d-beat",
Hongo,Formas de Vida que se Precipitan hacia su Destrucción,173204326400,,
Finisterre,Bitter Songs,170131522785.7143,,"19 Sep 2010, 23:32"
ATO,Notion,160351389000,,
Downfall of Gaia,We Pursue the Serpent of Time,152170695600,,
Minuala,Крики чёрных птиц,129822792000,,
ATO,2005,117646452000,,
ATO,Heights,117631908000,,
Downfall of Gaia,Woe,114734172000,,
Downfall of Gaia,As Our Bones Break to the Dance,108272670000,,
Mind Pollution,Spalone Dusze,99742266000,,
Downfall of Gaia,Of Withering Violet Leaves,95332320000,,
Masakari,Masakari//Alpinist Split LP,92195523000,"dark hardcore, neocrust",
Cwill,Trotz Allem,89731082222.22221,"hardcore, Crust, neocrust",
Axidance,The road breathes cold,83830645123.96693,,
Deszcz,Rain Keeps Falling,81346769333.33334,,
Madame Germen,que a fame de xustiza acorde a nosa sede de vinganza,81301135650,,
Down to Agony,No Vida,70622868093.75,"screamo, crust punk, neocrust",
Ekkaia,manos que estrechan...,70132686000,,
Alpinist,Alpinist & Finisterre Split,69143220000,,
Alpinist,Masakari//Alpinist Split LP,65373804000,,
ATO,family first,64416777600,,
Down to Agony,El sueño de vernos caer,62240533875,"spanish, hardcore, Crust, neocrust",
Down to Agony,Requiem por un mundo enfermo,60292938731.25,"spanish, hardcore, Crust, neocrust",
Masakari,Masakari Alpinist Split LP,58859892000,,
Warborn,Self-Titled,58381090560,,
Finisterre,Alpinist & Finisterre Split,58184595000,,
Ekkaia,CD 2003,56972712000,,
Alpinist,Alpinist|Masakari Split,54497322000,,
Hiroshima 45,Маяк,50342741779.59184,,
Protestant,The Hate The Hollow,47759010000,,
Ekkaia,"Ya Hemos Aguantado El Sermon, Ahora Lo Destrozaremos",46428928000.00001,,
Downfall of Gaia,Demo,43378056000,,
Ambulance,The Curse Of Vale Do Lobo,41507704271.28027,,
ATO,space to,40528423600,,
Masakari,Alpinist|Masakari Split,38672592000,,
Protestant,As Dead as We Look,34669232505.55556,,
Lentic Waters,Lentic Waters,33305819970.37037,,
Alpinist,Lichtlærm/Minus.Mensch,31830732000,,
Hongo,S/T,30929478000,,
Hongo,Demo,29856403533.333336,,
Masakari,Eden Compromised,29773319750,,
Alpinist,Lichtlaerm / Minus.Mensch,29595054737.414967,,
Cwill,Beyond Reality,28587149892,,
Down to Agony,Split,27982508400,,
The Dagda,An Endless Betrayal,27795744669.387756,,
Downfall of Gaia,Aeon Unveils Te Thrones O Decay,27172752000,"hardcore, 2014, dark hardcore, Atmospheric Sludge, neocrust",
Madame Germen,Madame Germen,27020961000,,
Deszcz,III,26464749134.69388,,
Alpinist,Lichtlжrm,26174340000.000004,,
Ekkaia,Split CD,25104330000,,
ATO,still.running,24958170000,,
ATO,for good,24535224000,,
Cwill,Nations,24515103600,,
Ekkaia,7 Songs,23893380000,,
Protestant,Stalemate,20037709950,,
Protestant,Reclamation,19772141400,,
Hospise,Hospise [EP],19176435000,,
Masakari,Sleep // Rot,18730656000,7 inch,
Downfall of Gaia,Downfall Of Gaia & Kazan Split,18452952000,,
Axidance,Axidance & Gattaca (split),17868303000,,
Ambulance,insound tour support series no. 12,17736792000,,
Etacarinae,In These Dark Times,17653630144.897957,"hardcore, Crust, neocrust",
Downfall of Gaia,Downfall Of Gaia/In The Hearts Of Emperors (Split),17467422000,,
Alpinist,LICHTLĆRM,17427510000,,
Madame Germen,Discografia,16797492138.842974,"spanish, hardcore, Crust, screamo, d-beat",
Masakari,Alpinist | Masakari Split (2011),15461100000,,
Worst Case Scenario,Demo cdr,14290920000,,
Hongo,Split Hongo - Aguirre,13882644000,,
Ashkara,In Absence,13716871875,,
Sanctions,Home Sweet Home,13268918180.555555,,
November 13th,Stiullstand / Weiter,13064598000,,
