Artist,Album,Weight,Tags,Published
Deceased…,Luck of the Corpse (Remastered),18789936000,,
Deceased…,Fearless Undead Machines,9498528000,,
Deceased…,The Blueprints for Madness,6624225000.000001,,
Deceased…,Ghostly White,6478824000,,
Deceased…,Supernatural Addiction,5858748000,"metal, thrash metal, death metal, old school death metal",
А. Крупнов & Черный обелиск,Брат 2 (За кадром),4490640000,,
Deceased…,As The Weird Travel On,2705967000,,
Deceased…,Surreal Overdose,1664286000,"metal, thrash metal, death metal, old school death metal",
Carnal Savagery,Zombie Infested,1133475000,,
Swedish Death Metal Demos,Swedish Death Metal Demos CD1,1042524000,,
Werewolph,Feel the Laser,917364000,,
Abysmalist,Reflections of Horror,906843000,2019,
Coagulate,The Art of Cryptosis,892962000,,
Deceased…,Behind the Mourner's Veil,804600000.0000001,,
Riparian,Riparian,788189004,"grindcore, death metal, Technical Death Metal, old school death metal, OSDM",
Mephitic Corpse,Immense Thickening Vomit,689573966.6666667,,
Infidel Reich,Infidel Reich,678430900,"metal, death metal, old school death metal",
Swedish Death Metal Demos,Swedish Death Metal Demos CD3,655302000,,
Sol De Sangre,Sol de Sangre,641355000,,
Death Kult,Beyond The Flesh,530157914.8148148,,
ZOUS,Pandemicon,526333808,2020,
モービッド・エンジェル,ヘレティック,488208000,,
Asystole,higher form of hatred,466150533.3333334,,
Swedish Death Metal Demos,Swedish Death Metal Demos CD2,332220000,,
Graverape,Exhuming Decay,308412081.632653,,
Cadaveribus,Open The Gate,303840000,,
Infidel Reich,Reichenstein,278919432,"metal, thrash metal, death metal, old school death metal",
zombie riot,Reign Of Rotten Flesh,203884031.99999997,old school death metal,
Ataudes,Merecemos la Extinción,167684688.8888889,,
K.O.D,best of,163878000,,
Kuvotus,Demo,148763916,,
Death Kommander,Pro Patria Mori,142188000,,
PUTREFIED CORPSE,Left to Rot,132773154.54545455,,
FORCEFED HORSEHEAD,Forcefed Horsehead,132118400,,
А. Крупнов & Черный обелиск,Брат 2 За кадром,92907000,,
Soliloquy,Soliloquy,87552000,,
Deceased…,Up the Tombstones!!! Live 2000,77265000,,
6th Counted Murder,Individual,76734000,,
Ripping Death,Tales of the Ripper,75864000,,
FORCEFED HORSEHEAD,Deux,74248163.26530612,,
Bleak Silence,"Hydrogen, Oxygen, Sulfur, Carbon, and Bountiful Gore",73224000,"noise, classic rock, heavy metal, black metal, metalcore","16 Jun 2012, 16:26"
モービッド・エンジェル,Altars of Madness,71478000,,
Dementaria,Violencia Extrema,64733728.09917356,,
Defective,Recognition,61603200,,
Coagulate,Bent,60181363.63636363,,
God of Carnage,Red Light,54798041.66666667,,
Death Kult,Under The Sign Of Death,52208466.666666664,,
Dismembered Carnage,Blasphemed Betrayal,51740080.00000001,,
Evilcünt,No Rest For The Mind,46956000,2020,
Centenary,...Where No Lives Matter,46305000,"death metal, old school death metal",
Red Dead,Forest of chaos,44747999.99999999,,
Werewolph,The Meat Won't Listen,41463000,,
Werewolph,The Meat Won't Listen (B-sides and Rarities),40068000,,
Bleak Silence,Canonical Anatomization Ceremony,39732000,"noise, classic rock, heavy metal, black metal, metalcore","09 Jun 2012, 01:51"
Asystole,Earth Without Christ,39376975,,
Soliloquy,So Far So Good,35281111.11111111,,
Bloodcut,The Old Cemetery Stories,33802363.63636364,"death metal, old school death metal",
Demogoth,Flesh Consumed,29880000,,
FORCEFED HORSEHEAD,Hunting Witches,29714802.366863906,,
Asystole,Untitled EP,28155612.244897958,,
Unfit Ass.,Absurd Reality / Flagging Water,26782493.877551023,,
Demogoth,Insineratehymn,26199000.000000004,,
Werewolph,Feel The Lazer,24570000,,
Soliloquy,Esoterica,24003840,,
Centenary,Into the Graveless Beyond,23064000,,
Ataudes,Merecemos La Extincion,22740000,,
FORCEFED HORSEHEAD,Bloodshine,22341600,,
Hell Spawn,Album,20241000,,
Sol De Sangre,La Senda de la Muerte,19152000,,
Hell Spawn,Far Beyond Death,17334000,,
zombie riot,Nuclear Zombie Massacre,17310600,"death metal, old school death metal",
FORCEFED HORSEHEAD,Futile,17222400,,
Deceased…,Death ... Is just the beginning Vol.2,16059000,,
Skuz,Endless Grief,15192000,,
Soliloquy,Quite Delicious,14938414.0625,,
Soliloquy,Nee,14490000,,
Death Metal,Death Metal,13992000,,
Death Metal,The Van Murders,13680000,,
Death Metal,title,11904000,,
Bigotry,Step to the Grave,11787668.75,,
Soliloquy,Michael Manring,10230000,,
Evilcünt,Born. Suffer. Die,10122000,,
Soliloquy,Spell On Me,10077600,,
Ripping Death,Tales Of The Ripper (Demo),10032000,,
Red Dead,Red Dead Redemption Original Soundtrack,9828000,,
Coagulate,Mien,9271500,,
Deceased…,Up the Tombstones!!!  Live 2000,9180000,,
Mephitic Corpse,Immense Thickening Vomit (Demo),9027000,,
Bleak Silence,Ynot,8892000,"noise, classic rock, heavy metal, black metal, metalcore","17 May 2012, 21:07"
FORCEFED HORSEHEAD,Spell no Stones,8465600,,
モービッド・エンジェル,Blessed Are The Sick,7800000,,
Slainhead,Lynch,7722000,,
Dismembered Carnage,Deranged Butchery,7560000,,
モービッド・エンジェル,Kingdoms Disdained,7182000,,
Sol De Sangre,Mas Abajo Del Infierno,6980400,,
Kuvotus,Jenkem Induced Psychotic Outburst,5670000,,
K.O.D,K.O.D. [EP],5472000,,
Death Metal,Death Metal SPLIT,5454000,,
Deceased…,A Call to Irons Volumes 1 & 2: Tribute to Iron Maiden,5202000,,
Bleak Silence,Bleak Silence,4968000,"noise, classic rock, heavy metal, black metal, metalcore","12 May 2012, 20:34"
