Artist,Album,Weight,Tags,Published
Vermilia,Täällä Pohjantähden Alla,533519632800,,
крада,Аз Есьм Огонь!,87691995000,,
Stormfolk,Broken Lovers,60370448000,"black metal, metal, pagan metal, pagan black metal, raw black metal",
Vermilia,Pimeä Polku,35938005200,,
Stormfolk,Awakening,33145200000,,
крада,Ступени,30577764000,"metal, folk, albums I own, folk metal, russian",
Beorn's Hall,Estuary,30317976296.29629,"black metal, atmospheric black metal, pagan black metal, Folk Black Metal, usa black metal",
Vermilia,Keskeneräisiä tarinoita,26663709600,,
крада,На Требу - Жизнь!,13420079999.999998,,
Nebokraj,Na Rubezhe,9309930000,,
Beorn's Hall,In His Granite Realm,9258659375,,
Urschrei,Heidenzorn,7988187075,,
Waldschein,Verborgene Pfade,6401238650,,
Vermilia,Vedestä Vieraantunut,4829467500,,
Дружина,Echoes of Distant Battles,3292710937.5,"black metal, pagan metal, pagan black metal",
Pagan Throne,The Way To The Northern Gates,3143335514.0625,,
Uuntar,Voorvaderverering,2752843527.7777777,,
Vinterforest,Aarstider,2522509075,"atmospheric black metal, pagan black metal",
Всполох,Печаль о Прошлом,2380476000,"black metal, atmospheric black metal, depressive black metal, pagan black metal, Ural Black Metal",
Дружина,Космоноэтика,2352870000,,
Ragor,Закат Кровавым Мечом,2138232720,"black metal, pagan black metal, Russian Black Metal",
Elfsword,Алтари Забытых Богов,2100000000,,
Всполох,Сумерки,2053665000,,
крада,Крысолов,2017992000,,
Хвангур,Волей и Духом,1926568481.6326532,,
Interior Wrath,Волчья Кровь Противостояния,1808405333.3333333,,
Neoheresy,Noc Która Dniem Się Stała,1705848000,,
Ragor,Za Gran'yu Sveta,1544298000,,
Дружина,Эхо Далёких Битв,1536347999.9999998,pagan black metal,
Vermilia,Suru On Kunniavieras,1521156000,,
Elfsword,Altari Zabitih Bogov,1369800000,,
Дружина,Опричник,1304160000,,
Sirin,Moja Otcina,1249818000,,
Neoheresy,Talionis,1232686000,,
Vargafrost,"Honour, Blood, Spirit and Love",1202405371.9008267,,
Neoheresy,Potop,1092063882.8125,,
KRAMOLA,Krov' Svobody,1057275000,,
Stormfolk,Stormfolk,1025334394.0828402,,
Дружина,Эхо Далеких Битв,1001466000,,
Ńâŕđăŕ,"Ňŕě, Ăäĺ Äđĺěëţň Ëĺńŕ...",886209000,,
Pagan Throne,Swords Of Blood,822179160,,
