Artist,Album,Weight,Tags,Published
Erra,Drift,66807449850400,"Progressive Metalcore, metalcore, post-hardcore, metal, Progressive metal","20 Dec 2020, 03:21"
Erra,Augment,51864023933962.51,"Progressive Metalcore, metalcore, 2013, metal, DJENT","20 Dec 2020, 03:20"
Erra,Impulse,42076339635616,"metalcore, Progressive Metalcore, DJENT, metal, brutal",
Erra,Neon,26869096117592,"Progressive Metalcore, metalcore, metal, DJENT, Progressive metal","20 Dec 2020, 03:22"
Structures,Divided By,18511371049581,"metalcore, Progressive Metalcore, hardcore, DJENT, 2011",
Erra,Moments Of Clarity,15278519961600,"Progressive Metalcore, metalcore, 2014, metal, hardcore","20 Dec 2020, 02:44"
SpiritBox,Spiritbox,14967324150000,"Female fronted metal, experimental, DJENT, Progressive metal, female vocalists",
Structures,All Of The Above,9764680992640,"Progressive Metalcore, DJENT, metalcore, metal, hardcore",
SpiritBox,Singles Collection,9302496030000,"Female fronted metal, DJENT, female vocalists, Progressive Metalcore, 2019",
SpiritBox,Holy Roller,8388692250000,,
Novelists,Noir,7084229498697.917,"metalcore, french, DJENT, Progressive metal, atmospheric",
SpiritBox,Blessed Be,6592540319999.999,,
Structures,Life Through A Window,6478909535347.108,"metalcore, 2014, Progressive Metalcore, hardcore, DJENT",
Berried Alive,Salida,5809898251400,,
Erra,"You Think I Ain't Worth a Dollar, But I Feel Like a Millionaire",5521066512000,,
Erra,Eye of God,5481703671000,,
Novelists,Souvenirs,5268498375828.062,"metalcore, Progressive Metalcore, french, DJENT, Progressive metal",
SpiritBox,Rule of Nines,4533229056000,,
Erra,Breach,4000607523000,"metalcore, DJENT, Progressive Metalcore, metal, ambient",
Erra,Snowblood,2992654476000,,
Novelists,Novelists Demo,2624213521922.222,"Progressive Metalcore, metalcore, DJENT, french, Progressive metal",
Levels,Levels,2512982518200,,
Apostate,Seaborne,2408636545728,"Progressive Metalcore, metalcore, albums I own, favorite EPs",
Erra,Disarray,2383931784000,,
Erra,Andromeda,2258574188020.408,"metalcore, metal, hardcore, Progressive Metalcore","05 Dec 2010, 08:38"
Elitist,Caves,2235705897824,"metalcore, metal, hardcore, 2010, Progressive Metalcore",
Apostate,Λ ♦ Λ ♦ Ø,2090170236168,"metalcore, metal, hardcore, Progressive Metalcore, best albums 2012",
SpiritBox,Constance,1865894112000,,
Elitist,Earth - EP,1589487046326.5305,,
The Afterimage,Lumière,1339537717404.6875,,
SLEEP WAKER,Melatonin,1307244120000,,
SpiritBox,Holy Roller (feat. Ryo Kinoshita),1289192274000,,
Elitist,Elitist,1262970694710.7437,"2015, Progressive Metalcore, post-hardcore",
Elitist,Earth,1185100012734.6936,"Progressive Metalcore, metalcore, metal, hardcore, DJENT",
Elitist,Reshape Reason,1184282248967.9998,2012,
Ebonivory,Persist,1112027904000,,
The Afterimage,Eve,908932078472.7272,Progressive Metalcore,
The Afterimage,Formless,872893724006.25,"metalcore, metal, hardcore, mathcore, Progressive Metalcore",
Berried Alive,Soul Sucker,870878567585.1853,,
Novelists,Eyes Wide Shut,857019211600,"metalcore, french, DJENT, Progressive metal, Progressive",
vitja,SCUM,802564525200,,
Erra,House of Glass,796712196000,,
Elitist,Reshape | Reason,758675732580,"metalcore, Progressive Metalcore, metal, hardcore, DJENT",
Divitius,The Arcadian Parallel,751235350250,"Female fronted metal, DJENT, female vocalists, Progressive Metalcore",
Novelists,"The Light, The Fire",689067943200,,
SLEEP WAKER,Don't Look at the Moon,664604070000,,
The Healing,Elevate,491192359200,"DJENT, Progressive metal, Progressive Metalcore, Progressive deathcore",
The Afterimage,Pursue,466317470400,,
vitja,Digital Love,461966645662.7219,,
Structures,All of the Above EP,461886492000,,
The Northern,Solstice,454915920000,,
Berried Alive,Fools Gold,452170785044.4444,,
Berried Alive,Bearies Alive,439853610000,,
The Afterimage,O N Y X,415545093000,,
vitja,Payback,402466163400,,
"Above, Below",The Sowers of Discord,367681320000.00006,,
Fall in Archaea,Gatherings,338415764050,"experimental, DJENT, Progressive Metalcore",
The Afterimage,The Unseen,318805502400,,
Lost in Separation,Drowning,295453440000,,
No Consequence,IO,287607531322.2222,2013,
Beneath My Feet,Sink to the Bottom or Swim for the Shore,252551938800,,
Galactic Pegasus,Death's Grip,251065690400,,
Berried Alive,God Jammit,245695150800,,
The Afterimage,Wrath,221125514400,,
SLEEP WAKER,Lost In Dreams,219781619834.69385,"Progressive Metalcore, metalcore, DJENT, Progressive metal, Progressive deathcore",
Earthists.,Dreamscape,216722437081.94446,"metalcore, Progressive Metalcore, naturecore, japanese, DJENT",
Structures,Signals,215794459885.7143,,
Erra,Divisionary,214050375000,,
Beneath My Feet,The Uprising,211557343400,,
vitja,Thirst,198726224538.46155,,
Centuries Apart,Malachi EP,193040081999.99997,"DJENT, groovy, math metal, Progressive Metalcore",
SLEEP WAKER,Xo Tour Lif3,191676739800,,
Erra,Moments of Clarity - EP,185938233000,,
"Above, Below",The Lotus Chapters,174344140800,,
Blueshift,Voyager,172441586240,,
Elitist,Osculum Infame,170629101000,,
IamOne,The Life Code (Instrumental),163613592000,,
Novelists,Gravity,161049215500,,
Structures,Hydroplaning,156703260000,,
vitja,Echoes,153138397133.8843,,
Novelists,Under Different Welkins,153020193600,,
The Afterimage,Pathogen,151767700800,2013,
vitja,Heavy Rain,140068958400,,
Lost in Separation,Sister Moon,133203310401.5625,,
vitja,Your Kingdom,133177179687.5,,
Neberu,Point Zero,130621060013.88889,,
"I, Omega",Transients,129879718956.00002,,"20 Dec 2017, 01:50"
Make way for man,Fireflies,128375797000,,
Athena,Athena,127918590149.1,"albums I own, 2005, turkish rock",
Ebonivory,The Long Dream I,113188530802.36685,,
Signals,The Vulture,112502656000,,
