Artist,Album,Weight,Tags,Published
Hollywood Undead,Swan Songs,7801943266685975,"rapcore, alternative rock, hip hop, rap, rap rock","01 Jun 2010, 15:28"
Crazy Town,The Gift of Game,1969919552360779.2,"rapcore, albums I own, Nu Metal, alternative rock, rap metal",
Hollywood Undead,American Tragedy,1405917720763696.2,"rapcore, Hip-Hop, rap rock, 2011, hollywood undead","06 Feb 2011, 12:01"
Hollywood Undead,Notes From The Underground,337155722003438,"2013, rapcore, alternative rock, rap rock, hip hop","06 Dec 2012, 21:08"
Hollywood Undead,American Tragedy (Deluxe Edition),328883008574177.75,"rap rock, alternative rock, rapcore, Hip-Hop, electronic","01 Jun 2019, 14:28"
Hollywood Undead,Desperate Measures,269437232239526.62,"rapcore, rap rock, Altar of the Metal Gods Death Metal, Altar of the Metal Gods Black Metal, Altar of the Metal Gods Ambient Metal","01 Jun 2010, 15:37"
(hed) Planet Earth,Broke,237449354712937.5,"albums I own, rapcore, hardcore, metal, punk",
Molotov,Dance And Dense Denso,227381565720400,"rapcore, rock, alternative, alternative rock, mexican",
Crazy Town,Butterfly,198971077927752,"hip hop, rock, rapcore, alternative, 90s",
Hollywood Undead,Day Of The Dead,197869755652800,"rapcore, rap, Rap-Rock, 2015, pop",
Clawfinger,Clawfinger,197295578100550.12,"industrial metal, rapcore, industrial, crossover, Clawfinger",
Hollywood Undead,Swan Songs (Edited Version),179905772300917.3,"hollywood undead, rock, rapcore, edited version, metal",
Deuce,Nine Lives,112939497920236.69,"rapcore, Hip-Hop, electronic, rap, 2012","22 Jun 2019, 08:04"
(hed) Planet Earth,Back 2 Base X,106344247320000.02,"rapcore, albums I own, Nu Metal, 2006, g-punk",
Hollywood Undead,Swan Song,94673928937499.98,"Nu Metal, melodic rapcore, rock, 2008, rapcore",
Hollywood Undead,Swan Songs (Collector’s Edition),80787795060000,"emo, rap, rapcore, rap rock, crunkcore","01 Jun 2019, 14:31"
(hed) Planet Earth,Insomnia,71635853322000,"rapcore, albums I own, Nu Metal, metal, rock",
Fever 333,STRENGTH IN NUMB333RS,64518235326311.195,"2019, rapcore, rock, alternative, alternative rock",
Molotov,Apocalypshit,55323788376240,"rock, rap, alternative rock, rapcore, alternative",
Hollywood Undead,Five,52539554873050.78,"2017, rock, hard rock, alternative, alternative rock","25 Jul 2017, 03:05"
Clawfinger,Use Your Brain,50937827705602.92,"crossover, 1995, industrial, bombcore, SICmuSIC",
Clawfinger,Hate yourself with style,46093852015140.49,"industrial metal, rapcore, metal, industrial, 2005",
Hollywood Undead,Hollywood Undead,45033286410000,rapcore,
Clawfinger,Life Will Kill You,42588897179788.125,"industrial metal, rapcore, metal, albums I own, alternative",
Clawfinger,Deaf Dumb Blind,36142932729879.36,"crossover, albums I own, 1993, rap metal, rapcore",
(hed) Planet Earth,Blackout,35120471896891.1,"albums I own, rapcore, metal, Nu Metal, 2003","26 Nov 2012, 05:23"
Hollywood Undead,Day of the Dead (Deluxe Version),33922504326712.883,"rapcore, 2015, deluxe version","01 Jun 2019, 14:32"
