Artist,Album,Weight,Tags,Published
Touché Amoré,Parting The Sea Between Brightness And Me,20148248615.53387,"melodic hardcore, hardcore, post-hardcore, 2011, screamo","25 May 2014, 12:29"
Underoath,They're Only Chasing Safety,18853213935.44412,"post-hardcore, screamo, favorite albums, Underoath, albums I own",
Underoath,Define the Great Line,15105978812.258663,"post-hardcore, metalcore, albums I own, screamo, hardcore",
Touché Amoré,Is Survived By,10503343736.806747,"2013, post-hardcore, screamo, melodic hardcore, hardcore","03 Jan 2014, 10:28"
Saetia,A Retrospective,8301137969.394522,"screamo, hardcore, real screamo, albums I own, emocore","10 Jun 2009, 13:11"
Underoath,Lost in the Sound of Separation,5695579281.506448,"post-hardcore, metalcore, hardcore, screamo, melodic metalcore","25 Mar 2009, 10:41"
Orchid,Totality,4955771953.58425,"screamo, emo violence, real screamo, albums I own, punk","30 Dec 2016, 09:51"
Circle Takes the Square,As the Roots Undo,4412951512.431753,"screamo, hardcore, favorite albums, post-hardcore, experimental",
Orchid,Chaos Is Me,3964032640.5379124,"screamo, hardcore, real screamo, emo violence, hardcore punk","30 Dec 2016, 09:56"
Orchid,Gatefold,3180448390.2541504,"screamo, real screamo, emo violence, real post-hardcore, experimental","30 Dec 2016, 11:59"
Envy,Recitation,3046328569.469819,"screamo, post-rock, 2010, albums I own, post rock",
Neil Perry,Lineage Situation,3009389749.664208,"screamo, post-hardcore, real screamo, albums I own, emo violence",
Orchid,Dance Tonight! Revolution Tomorrow!,2858419819.2420115,"screamo, real screamo, emo, post-hardcore, emo violence","06 Nov 2014, 04:05"
Comadre,Burn Your Bones,2743805424.889053,"punk, hardcore, screamo, records i own",
Ampere,All Our Tomorrows End Today,2636998286.489386,"screamo, seen live, albums I own, 2005, real screamo",
Loma Prieta,I.V.,2628628390.862619,"2012, screamo, hardcore, vinyl, post-hardcore","04 Oct 2012, 22:19"
La quiete,La fine non è la fine,2560195219.7457857,"screamo, hardcore, emo violence, real screamo, emo",
Underoath,The Changing of Times,2492762680.7372804,"metalcore, post-hardcore, screamo, hardcore, albums I own",
Touché Amoré,...to the Beat of a Dead Horse,2419394744.9585633,"post-hardcore, melodic hardcore, 2009, hardcore, emo",
Touché Amoré,Stage Four (Deluxe Edition),2391185866.775517,"post-hardcore, alternative rock, hardcore, emo, screamo",
Underoath,Ø (Disambiguation),2233923237.6875854,"metalcore, post-hardcore, screamo, Post-Metal, 2010",
Daïtro,Y,2130525736.0580091,"screamo, real screamo, french screamo",
Envy,All the Footprints You've Ever Left and the Fear Expecting Ahead,1962749433.0808651,"screamo, hardcore, post-rock, Awesome, albums I own",
My Own Private Alaska,Amen,1953590458.3545573,"french, experimental, piano, acoustic, Experimental Rock",
La quiete,Tenpeun 01-05,1905504085.5657787,screamo,
Loma Prieta,Last City,1887542745.7342658,"screamo, hardcore, Awesome, post-hardcore, sick",
United Nations,United Nations,1746760096.5843997,"grindcore, screamo, hardcore, 2008, post-hardcore","27 Mar 2010, 10:40"
Suis la lune,"Quiet, Pull the Strings!",1696235609.4732132,"screamo, favourite albums, sad, intense, quiet",
Old Gray,An Autobiography,1656994367.681333,"screamo, post-hardcore",
Hot Cross,Cryonics,1655604052.911875,"screamo, post-hardcore, punk, math rock, hardcore",
Envy,A Dead Sinking Story,1635001733.1982524,"screamo, post hardcore, 2003, japanese, hardcore",
Envy,Insomniac Doze,1541249699.3044586,"screamo, post-rock, post hardcore, 2006, japanese",
Suis la lune,Riala,1434912930.7630935,"screamo, emo, 2012, post-rock screamo","10 Jul 2012, 13:55"
Pianos Become the Teeth,The Lack Long After,1380131115.6826563,"post-hardcore, emo, post-rock, screamo, indie",
Orchid,Orchid,1247383758.5734434,"screamo, post-hardcore, emo, 2002, albums I own",
Gospel,The Moon Is a Dead World,1221550231.4051137,"metal, Progressive, screamo, post-hardcore, experimental",
Raein,Sulla linea d'orizzonte tra questa mia vita e quella di tutti,1202307480.213823,"emo, screamo, punk, hardcore, post-punk",
Loma Prieta,Life/Less,1102922598.6439195,"hardcore, screamo, post-hardcore, 2010, real screamo","24 Jun 2013, 16:59"
Loma Prieta,Dark Mountain,1095718569.8245614,"screamo, hardcore, real screamo, epic, beautiful","04 Oct 2012, 22:17"
City of Caterpillar,City of Caterpillar,1090217816.8110528,"screamo, post-rock, post-hardcore, hardcore, post rock",
Touché Amoré,Stage Four,1080654412.194352,"post-hardcore, screamo, hardcore, melodic hardcore, 2016",
William Bonney,Good Vibes,1010520269.258313,"emo, screamo, tag n 2- suspects",
Merchant Ships,For Cameron,959420150.7292366,"summer, screamo, midwest emo, indie rock, 2011",
Ampere,Like Shadows,945798864.0462985,"hardcore, screamo, punk, real screamo, SKRAM",
Pianos Become the Teeth,Old Pride,937945772.0547607,"post-hardcore, albums I own, post-rock, screamo, post-screamo",
Pg.99,Document #8,934366225.9613143,"screamo, punk, hardcore, real screamo, emo violence",
Funeral Diner,The Underdark,904296491.5057687,"screamo, real screamo, emo, punk, albums I own",
Hot Cross,Risk Revival,882187799.0468277,"post-hardcore, screamo, post hardcore, emo, math rock",
Optimus Prime,Optimus Prime & Gone With The Pain split CD,876761172.9614413,"screamo, russian emo, emo, russian, 00s",
Amanda Woodward,La Decadence De La Decadence,815230173.4757011,"hardcore, screamo, seen live, great cover, albums i bought",
Viva Belgrado,Ulises,763723729.4696171,"emo, post-rock, spain, screamo, post-hardcore",
State Faults,Resonate/Desperate,727401873.0538921,"screamo, hardcore, emo, post-rock, Awesome","23 Oct 2013, 18:45"
Raein,nati da altri padri,691161394.4801251,"screamo, epic, beautiful, skramz",
Fjørt,d'accord,669563963.1874299,"screamo, post-hardcore, hardcore, emo, post-rock",
Saetia,Collected,669192134.1419393,"emo, screamo, real screamo, hardcore, hardcore punk",
Tristan Tzara,Omorina Nad Evropom,661231561.924182,"punk, screamo, favourite albums, emo violence","07 Jul 2018, 02:24"
Funeral Diner,Difference of Potential,661126262.1323171,"screamo, post-hardcore, real screamo, emo violence",
I Would Set Myself on Fire for You,Believes In Patterns,654503916.3665617,"screamo, post-hardcore, emo violence, real screamo, punk",
Fjørt,Couleur (Bonustrack Version),647840553.709705,"hardcore, emo, post-rock, screamo, german",
Daïtro,"Des Cendres, Je Me Consumme",597531696.7155067,"screamo, post-hardcore",
Amanda Woodward,La Décadence de la décadence,593606573.7443258,"screamo, hardcore, french, emo, emocore",
Old Gray,slow burn,539924135.0305368,"punk, emo, spoken word, screamo, emo violence",
Envy,From Here To Eternity,539030661.44566,screamo,
Showbread,"No Sir, Nihilism Is Not Practical",528571326.5340358,"screamo, hardcore, albums I own, rock, alternative",
The Saddest Landscape,After the Lights,520965151.76870245,"screamo, rock, hardcore, emo, punk rock",
Tristan Tzara,Da Ne Zaboravis,503491033.4127254,"screamo, albums I own, emo violence","23 Jun 2018, 00:01"
Marschak,Marschak,499159404.7735229,"emo, russian emo, screamo, russian, russian screamo",
Jeromes Dream,Completed 1997-2001 Disc 1,470400708.9613034,"screamo, powerviolence",
Raein,il n'y a pass de orchestre,463358112.4427341,screamo,
Circle Takes the Square,Decompositions:Volume Number One,455850376.8646717,"emo, screamo",
Marschak,Relict,455348022.2553658,"post-hardcore, emo, emocore, russian emo, hardcore",
I Would Set Myself on Fire for You,I Would Set Myself on Fire for You,446228422.59500164,"screamo, post-rock, emo, post rock, real screamo",
Suis la lune,Heir,432374141.64292496,"screamo, noise, emo, noise rock, post-hardcore",
Loma Prieta,Self Portrait,414183207.37305546,"screamo, emo violence, skramz",
William Bonney,All Ten,411387504.4600939,"screamo, post-hardcore, midwest emo, emo, post hardcore",
State Faults,Desolate Peaks,407507746.15384614,"screamo, post-rock",
Escapado,Initiale,390628097.2821983,"post-hardcore, punk, alternative, hardcore, emo",
Hot Cross,A New Set Of Lungs,387425854.41305304,"screamo, post hardcore, punk, math rock, experimental",
Underoath,They're Only Chasing Safety (Special Edition),379671209.59565806,"metalcore, hardcore, post-hardcore, metal, emo",
Viva Belgrado,Bellavista,374315103.77358484,"spanish, punk, hardcore, indie rock, post-rock",
Pg.99,Document #5,373275037.1253626,"hardcore, emo, 2000, metalcore, indie","09 Oct 2014, 04:19"
Fjørt,Kontakt,359777336.43044096,"german, post-hardcore, hardcore, emo, post-rock",
