Artist,Album,Weight,Tags,Published
Cacophony,Speed Metal Symphony,50360775668928.57,"speed metal, heavy metal, neo-classical metal, guitar virtuoso, thrash metal",
Midnight,Satanic Royalty,20915767197200,"speed metal, black metal, thrash metal, heavy metal, metal",
Agent Steel,Skeptics Apocalypse,17514728226666.666,"speed metal, thrash metal, albums I own, heavy metal, 80s","21 Sep 2019, 15:05"
Agent Steel,Unstoppable Force,13047483577074.072,"speed metal, thrash metal, Speed Thrash Metal, 80s, 1980s",
Exciter,Heavy Metal Maniac,10190326682057.143,"speed metal, thrash metal, 1983, albums I own, metal","16 Dec 2012, 06:49"
Speedwolf,Ride With Death,4977261974345.834,"speed metal, 2011, up all night, metal, albums I own",
Liege Lord,Master Control,4648392913077,"speed metal, heavy metal, thrash metal, 1988, Power metal",
Exciter,Violence & Force,4369840026624,"speed metal, 1984, 80s, albums I own, Canadian",
Cacophony,Go Off!,3887904139931.25,"cd I own, heavy metal, speed metal, Megadeth, Marty Friedman",
Midnight,Rebirth By Blasphemy,2808901575000,,
Exciter,Long Live the Loud,2027589022090.625,"speed metal, 1985, classic, albums I own, thrash metal",
Leader,This Is Why We Bleed,1397668311000,,
Exciter,Unveiling the Wicked,1359886402819.7532,"speed metal, thrash metal, heavy metal, metal, hard rock",
Leader,Warrior Inside,925009308000,"heavy metal, metal, speed metal, thrash metal, dutch",
Agent Steel,Omega Conspiracy,892705749936,"Speed Thrash Metal, metal, speed metal, owned, speed-thrash metal",
Midnight,Complete and Total Hell,823188773616.78,"speed metal, proto-black metal",
Striker,Eyes In The Night,764065313850.0001,"speed metal, heavy metal, Canadian, NWOTHM",
Hellripper,Coagulating Darkness,752365597767.1875,"speed metal, 2017, black metal, metal, Scottish",
Midnight,No Mercy For Mayhem,742419481962,"2014, metal, speed metal, favorite albums, blackened speed metal",
Abattoir,Vicious Attack,717250639062.5,"speed metal, albums I own, thrash metal, heavy metal, metal",
Acid,Acid,671846266311.1112,"heavy metal, Female fronted metal, speed metal, metal, rock",
Savage Grace,Master Of Disguise,660534127037.0371,"speed metal, old-school heavy metal, heavy metal, 80s, Power metal",
Evil Invaders,Pulses of Pleasure,656517138093.8273,"speed metal, 2015, thrash metal, best of 2015, thrash","06 Mar 2015, 02:05"
Exciter,Death Machine,627473616000,"speed metal, 2010",
Bütcher,666 Goats Carry My Chariot,614049532444.4445,,
Acid,Maniac,579613709162.25,"heavy metal, speed metal, Belgian Speed Metal, Female fronted metal, metal",
Hellripper,The Affair of the Poisons,520715457478.125,"black metal, speed metal, 2020",
Exciter,Thrash Speed Burn,500244041920,"speed metal, true metal, heavy metal, metal, 2008",
Exciter,Exciter,494020116288,"heavy metal, 80s, Canadian, speed metal, american",
Midnight,Sweet Death and Ecstasy,490253682418.50006,"speed metal, Black speed metal, boobs on cover",
Hellripper,Black Arts & Alchemy,461588118075,"metal, Scottish, speed metal, scotland, 2010s",
